seed,mode,channel,feature,reliable_imputer,threshold,rows,attack_rows,events,auroc,auprc,fpr,event_detected_ratio,censored_delay_mean,etap,etar,etaf1,false_alarm_seconds,n_false_alarms,original_threshold,original_auroc,original_auprc,original_etaf1,original_fpr,original_event_detected_ratio,original_censored_delay_mean,delta_auroc,delta_auprc,delta_etaf1,delta_event_detected_ratio,delta_fpr,delta_censored_delay
43,loo_sample,21,P3_LCP01D,False,0.5953330993652344,401855,8947,50,0.8552392529984705,0.506411297024314,0.0026978325714925,0.84,43.72,0.6856991993334964,0.5500948676934092,0.6104570662688317,1137,59,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.0017155454346845511,-0.0014118914838460173,0.0013776233004033633,0.0,5.090250134899901e-06,0.01999999999999602
43,loo_sample,22,P3_LCV01D,False,0.5936508178710938,401855,8947,50,0.8484347484817745,0.5017372850359273,0.0026927423213576,0.84,43.7,0.6885298976307582,0.5503145347866165,0.6117120122370472,1132,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.005088959082011457,0.0032621205045406665,0.00012267733218784826,0.0,0.0,0.0
43,loo_sample,23,P4_HT_LD,False,0.5936940312385559,401855,8947,50,0.8536538760467187,0.5052423582556208,0.0026927423213576,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.00013016848293279093,-0.00024295271515284433,0.0,0.0,0.0,0.0
43,loo_sample,24,P4_HT_PS,False,0.5937118530273438,401855,8947,50,0.8535216293910822,0.5049881700363837,0.0026927423213576,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,2.078172703701142e-06,1.123550408421714e-05,0.0,0.0,0.0,0.0
43,loo_sample,25,P4_LD,True,0.5939872860908508,401855,8947,50,0.8535079395652961,0.5049879431156991,0.0026927423213576,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,1.5767998489790713e-05,1.1462424768904356e-05,0.0,0.0,0.0,0.0
43,loo_sample,26,P4_ST_GOV,True,0.5936510562896729,401855,8947,50,0.8535077172544389,0.5049964083180497,0.0026927423213576,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,1.5990309347069243e-05,2.9972224182550633e-06,0.0,0.0,0.0,0.0
43,loo_sample,27,P4_ST_LD,True,0.5937396287918091,401855,8947,50,0.8535296179319011,0.5050088654285586,0.0026901971962902,0.84,43.7,0.6889103004810542,0.5503978681199498,0.6119135987599897,1131,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-5.910368115147335e-06,-9.459888090646018e-06,-7.89091907547057e-05,0.0,-2.5451250674000774e-06,0.0
43,loo_sample,28,P4_ST_PS,False,0.5937245488166809,401855,8947,50,0.8535231384878166,0.5049996916091553,0.0026927423213576,0.84,43.7,0.688710299263481,0.5503978681199498,0.611834689569235,1132,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,5.690759693477432e-07,-2.860686872940832e-07,0.0,0.0,0.0,0.0
43,zero,1,P1_B2004,True,0.5941298007965088,401855,8947,50,0.8537013862806675,0.5050683500286202,0.0026952874464251,0.84,43.72,0.6884165117138746,0.5502463529684347,0.6116251414237158,1133,57,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.00017767871688156855,-6.894448815220056e-05,0.00020954814551921164,0.0,2.5451250675002576e-06,0.01999999999999602
43,zero,2,P1_B2016,True,0.5992061495780945,401855,8947,50,0.850570976464009,0.5029100926642317,0.0026927423213576,0.84,43.74,0.6926483374355504,0.5504080371947425,0.6133900596221799,1126,55,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.002952731099776895,0.00208931287623626,-0.0015553700529448156,0.0,0.0,0.03999999999999915
43,zero,3,P1_B3004,False,0.6014594435691833,401855,8947,50,0.8541288791072693,0.504177985508669,0.0026672910706832,0.84,43.76,0.6925001085958165,0.5496258211779232,0.6128459791868415,1121,54,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,-0.0006051715434833849,0.0008214200317989695,-0.0010112896176064368,0.0,-2.545125067439976e-05,0.05999999999999517
43,zero,4,P1_B3005,False,0.6300886273384094,401855,8947,50,0.8458512903660065,0.497927780999192,0.0026672910706832,0.82,49.08,0.6824516365325631,0.5477062280667195,0.607699259484827,1117,61,0.5937371850013733,0.8535237075637859,0.504999405540468,0.611834689569235,0.0026927423213576,0.84,43.7,0.007672417197779446,0.007071624541275967,0.004135430084408087,0.020000000000000018,-2.545125067439976e-05,5.3799999999999955
