mode,channel,feature,global_event,attack_id,target_class,reliable_imputer,seeds,mean_delta_normalized_score,min_delta_normalized_score,max_delta_normalized_score,positive_seeds,mean_detection_drop,mean_alarm_delay_increase,max_abs_fpr_shift,stable_targeted_cell
zero,15,P1_LCV01D,8,A203,control_only,True,3,0.17919560775375534,0.15245038533995814,0.19893919899118262,3,0.0,0.0,3.5631750944300176e-05,True
zero,15,P1_LCV01D,18,A213,mixed_control_sensor,True,3,-0.01369817446375802,-0.04224540097692575,0.001275372362175009,1,0.0,0.0,3.5631750944300176e-05,False
zero,15,P1_LCV01D,26,A301,control_only,True,3,0.012213165040453852,0.007689800786742751,0.017634701641065176,3,0.0,0.6666666666666666,3.5631750944300176e-05,False
zero,15,P1_LCV01D,28,A303,control_only,True,3,0.005856631556290163,-0.006524515519975793,0.028881031594296225,1,0.0,0.0,3.5631750944300176e-05,False
zero,15,P1_LCV01D,33,A308,mixed_control_sensor,True,3,-0.002719806878650921,-0.009827958197187403,0.0036755762550333415,1,0.0,0.0,3.5631750944300176e-05,False
zero,15,P1_LCV01D,37,A404,mixed_control_sensor,True,3,-0.0017178263407669665,-0.022965620498147654,0.014655380501965354,2,0.0,0.0,3.5631750944300176e-05,False
zero,15,P1_LCV01D,46,A508,control_only,True,3,0.05652299847068668,0.02892674585438826,0.07193544856270373,3,0.0,0.6666666666666666,3.5631750944300176e-05,True
zero,15,P1_LCV01D,48,A510,mixed_control_sensor,True,3,-0.009879282383344457,-0.03762943125354701,0.006284593670619287,2,0.0,1.3333333333333333,3.5631750944300176e-05,False
zero,17,P1_PCV01D,15,A210,mixed_control_sensor,False,3,0.004959476824212013,-0.006087519535844688,0.011915277568460614,2,0.0,-0.6666666666666666,3.0541500809400275e-05,False
zero,17,P1_PCV01D,19,A214,control_only,False,3,-0.009938501156315838,-0.014339852141643905,-0.006496230042231821,0,0.0,0.0,3.0541500809400275e-05,False
zero,17,P1_PCV01D,28,A303,control_only,False,3,0.019936691190506856,0.011568206019292315,0.02664539053315007,3,0.0,0.0,3.0541500809400275e-05,False
zero,17,P1_PCV01D,34,A401,mixed_control_sensor,False,3,0.013618896554619267,0.00702398969750373,0.020274757406718802,3,0.0,0.0,3.0541500809400275e-05,False
zero,17,P1_PCV01D,39,A501,control_only,False,3,0.14538627979263788,0.11628205393023272,0.1913294717307572,3,0.0,0.0,3.0541500809400275e-05,False
zero,17,P1_PCV01D,47,A509,control_only,False,3,-0.006002375965368512,-0.007695927289672999,-0.003884815295796318,0,0.0,0.0,3.0541500809400275e-05,False
zero,20,P2_CO_rpm,4,A104,control_only,True,3,0.054372378357656924,-0.2581941458196524,0.3824716815501743,2,0.0,0.0,1.0180500269800236e-05,False
zero,20,P2_CO_rpm,20,A215,mixed_control_sensor,True,3,0.09186157264126171,0.04697355034347084,0.16677821912919233,3,0.6666666666666666,100.66666666666667,1.0180500269800236e-05,True
zero,20,P2_CO_rpm,30,A305,control_only,True,3,0.23701775264448818,0.07606499726700022,0.3218872872850831,3,0.0,0.0,1.0180500269800236e-05,True
zero,20,P2_CO_rpm,37,A404,mixed_control_sensor,True,3,0.03770912408875008,0.02729565675969603,0.05853181302492105,3,0.0,0.0,1.0180500269800236e-05,False
zero,20,P2_CO_rpm,40,A502,mixed_control_sensor,True,3,0.04301919614913071,0.019284862893063748,0.05497901565980645,3,0.0,0.0,1.0180500269800236e-05,False
zero,20,P2_CO_rpm,41,A503,mixed_control_sensor,True,3,0.049174437536663916,0.036221599055050735,0.0750231673010866,3,0.0,0.0,1.0180500269800236e-05,False
zero,20,P2_CO_rpm,44,A506,mixed_control_sensor,True,3,0.12261279399914644,0.09871872080539734,0.16395268778455785,3,0.0,0.0,1.0180500269800236e-05,True
zero,21,P3_LCP01D,24,A219,control_only,False,3,-0.024557279233533496,-0.029433894765848012,-0.015133086600260803,0,0.0,0.0,5.344762641639996e-05,False
zero,22,P3_LCV01D,25,A220,control_only,False,3,0.0690764600821353,0.05875696050156198,0.08662295053176716,3,0.0,0.0,5.344762641639996e-05,False
zero,22,P3_LCV01D,35,A402,mixed_control_sensor,False,3,0.05117519610780589,0.04753254418286801,0.05702303847182977,3,0.0,0.6666666666666666,5.344762641639996e-05,False
zero,22,P3_LCV01D,36,A403,mixed_control_sensor,False,3,0.05902923571137412,0.04381334361849487,0.0674522001129616,3,0.0,2.0,5.344762641639996e-05,False
zero,22,P3_LCV01D,38,A405,control_only,False,3,0.03437619762471774,0.022875216600335202,0.05254616160767078,3,0.0,0.0,5.344762641639996e-05,False
zero,22,P3_LCV01D,42,A504,control_only,False,3,0.050709602990773726,0.041550267310786815,0.057119693966834806,3,0.0,0.0,5.344762641639996e-05,False
zero,22,P3_LCV01D,44,A506,mixed_control_sensor,False,3,0.03732948214225477,0.02088223772596587,0.052212337265396314,3,0.0,0.0,5.344762641639996e-05,False
zero,22,P3_LCV01D,49,A511,control_only,False,3,0.4829341217788971,0.39355631774624733,0.5539654984301787,3,0.0,0.0,5.344762641639996e-05,False
