seed,mode,channel,feature,reliable_imputer,threshold,rows,attack_rows,events,auroc,auprc,fpr,event_detected_ratio,censored_delay_mean,etap,etar,etaf1,false_alarm_seconds,n_false_alarms
42,loo_sample,11,P1_FCV02D,False,0.5973633527755737,401855,8947,50,0.849285483204337,0.506495359301809,0.0026927423213576715,0.84,43.98,0.6825433402353408,0.558317321340081,0.6142120243136494,1307,61
42,loo_sample,12,P1_FCV02Z,False,0.5972488522529602,401855,8947,50,0.8494039278120081,0.5066367216843022,0.002690197196290226,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61
42,loo_sample,13,P1_FCV03D,True,0.5969919562339783,401855,8947,50,0.8482575468158304,0.5063124052485267,0.002697832571492563,0.84,43.96,0.6810738124572842,0.5588903097247399,0.6139622061319335,1309,62
42,loo_sample,14,P1_FCV03Z,True,0.5970547199249268,401855,8947,50,0.8487322618536772,0.5059167011099567,0.002700377696560009,0.84,43.94,0.6804357666021161,0.5586565248621943,0.6135618523018311,1310,63
42,loo_sample,15,P1_LCV01D,True,0.5972660779953003,401855,8947,50,0.8489160001415461,0.5066756175112527,0.002682561821087888,0.84,43.94,0.6817712802760494,0.5588445742166689,0.6142178168355147,1301,62
42,loo_sample,16,P1_LCV01Z,True,0.5970184206962585,401855,8947,50,0.84951435528994,0.5073773780008585,0.0026851069461553342,0.84,43.94,0.6938246388632836,0.5601942005183544,0.6198894732069754,1140,59
42,loo_sample,17,P1_PCV01D,False,0.597167432308197,401855,8947,50,0.8490378098500315,0.5065864057226109,0.002690197196290226,0.84,43.9,0.6826137914437086,0.5586565248621943,0.6144457714671855,1308,61
42,loo_sample,18,P1_PCV01Z,False,0.5972232818603516,401855,8947,50,0.8490458333802751,0.5065589237796717,0.002690197196290226,0.84,43.94,0.6829343558578036,0.5586565248621943,0.6145756059858867,1306,61
42,loo_sample,19,P1_PCV02Z,False,0.598151445388794,401855,8947,50,0.8504914299980934,0.504910157592526,0.00268765207122278,0.84,44.46,0.685268029579958,0.5585236940765265,0.6154381381287385,1230,57
42,loo_sample,20,P2_CO_rpm,True,0.5988863706588745,401855,8947,50,0.8497483890268617,0.502580326711263,0.002700377696560009,0.82,46.62,0.6645789009906239,0.5347181236408105,0.5926178013460638,1316,64
42,loo_sample,21,P3_LCP01D,False,0.5968486666679382,401855,8947,50,0.8503998201457089,0.5076159382571445,0.002697832571492563,0.84,44.12,0.6865547727269834,0.5594457906839352,0.6165168603529877,1147,62
42,loo_sample,22,P3_LCV01D,False,0.597458004951477,401855,8947,50,0.84522958319019,0.5034907253200441,0.002690197196290226,0.84,43.98,0.6707142448463875,0.5463785924640202,0.6021954838787279,1317,65
42,loo_sample,23,P4_HT_LD,False,0.597271203994751,401855,8947,50,0.8492370760463537,0.5067025777438023,0.002690197196290226,0.84,43.94,0.6825362446864347,0.5588407353885101,0.6145257452524235,1306,61
42,loo_sample,24,P4_HT_PS,False,0.5972210764884949,401855,8947,50,0.8491891457970745,0.5065525364585389,0.002690197196290226,0.84,43.94,0.6829343558578036,0.5586565248621943,0.6145756059858867,1306,61
42,loo_sample,25,P4_LD,True,0.5974624156951904,401855,8947,50,0.8491822988217966,0.5065552124020999,0.002682561821087888,0.84,43.94,0.683972107841074,0.558525805907946,0.6149162401372985,1303,60
42,loo_sample,26,P4_ST_GOV,True,0.5974425673484802,401855,8947,50,0.8491905002860661,0.5065478559532333,0.002690197196290226,0.84,43.94,0.6829343558578036,0.5586565248621943,0.6145756059858867,1306,61
42,loo_sample,27,P4_ST_LD,True,0.5977985262870789,401855,8947,50,0.8492168171694198,0.5065771615809552,0.002674926445885551,0.84,43.94,0.6846249544463582,0.5585907353885101,0.6152193217901112,1300,60
42,loo_sample,28,P4_ST_PS,False,0.5975472331047058,401855,8947,50,0.8491918341512099,0.5065518829186754,0.002690197196290226,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61
42,zero,1,P1_B2004,True,0.5976513624191284,401855,8947,50,0.8488871887682277,0.506312161479626,0.0026800166960204426,0.84,43.96,0.682898279664132,0.5582511729948263,0.6143156488397602,1302,61
42,zero,2,P1_B2016,True,0.6007870435714722,401855,8947,50,0.8458137896677398,0.5045694328471956,0.002690197196290226,0.84,43.94,0.6840441523896303,0.5584145849414704,0.6148779351156869,1309,59
42,zero,3,P1_B3004,False,0.6015232801437378,401855,8947,50,0.8491827569556875,0.5064725197442078,0.0026800166960204426,0.84,43.98,0.6852046358976157,0.5575868118485784,0.6148434141333791,1299,58
42,zero,4,P1_B3005,False,0.6248876452445984,401855,8947,50,0.8422773274345494,0.5004923403823065,0.0026494751952110926,0.84,44.28,0.6830318454807947,0.5556022430827686,0.6127621207102244,1278,59
42,zero,5,P1_B4002,True,0.6015105247497559,401855,8947,50,0.8440146193656539,0.5039219465982658,0.0026851069461553342,0.84,43.98,0.6846105854941937,0.5576450691320801,0.6146395322971051,1301,59
42,zero,6,P1_B4005,False,0.6076703667640686,401855,8947,50,0.844405184694728,0.5031784177386682,0.00268765207122278,0.84,43.98,0.6810285048340774,0.5581522542383226,0.61349822032136,1305,63
42,zero,7,P1_B400B,False,0.6232054829597473,401855,8947,50,0.8399125222166206,0.49842072998998244,0.0026265690696040804,0.84,44.32,0.6814908359706134,0.5554576415900929,0.612053451506706,1273,62
42,zero,8,P1_B4022,True,0.6057133674621582,401855,8947,50,0.8410769433903957,0.5022642122127067,0.0026774715709529965,0.84,43.96,0.6821414458371605,0.5578807804399734,0.6137851307981903,1303,59
42,zero,9,P1_FCV01D,False,0.6060024499893188,401855,8947,50,0.8489462469346803,0.5053844544538328,0.002667291070683213,0.84,43.96,0.687231727937531,0.5577074271898773,0.6157316802074065,1297,58
