architecture,fault_id,dauc_f0,dauc_f0c,dpr_f0,dpr_f0c,pos_f0,pos_f0c,gain
transformer,10,0.005856927385940747,0.005856927385940747,0.0022688060148170265,0.0022688060148170265,5,5,False
transformer,11,-0.0024244784443383295,-0.0024244784443383295,-0.001063313112813624,-0.001063313112813624,2,2,False
transformer,12,0.0024506052301649373,0.0024506052301649373,0.0011338117416661575,0.0011338117416661575,3,3,False
transformer,13,0.00020995859113710492,0.00020995859113710492,7.330853983618102e-05,7.330853983618102e-05,5,5,False
transformer,14,-0.0037680283883089636,-0.0037680283883089636,-0.001538728250540511,-0.001538728250540511,0,0,False
transformer,15,0.0005642540055894151,0.0005642540055894151,0.0005198590837491412,0.0005198590837491412,5,5,False
transformer,16,0.001118092307616414,0.001118092307616414,0.001113408181721498,0.001113408181721498,4,4,False
transformer,17,-0.0009648129451082621,-0.0009648129451082621,-0.0003853659336900517,-0.0003853659336900517,1,1,False
transformer,18,-0.00032297618651373484,-0.00032297618651373484,-0.0001233779523661882,-0.0001233779523661882,3,3,False
transformer,19,0.1970043862082229,0.1970043862082229,0.09049632542679745,0.09049632542679745,5,5,True
transformer,20,0.00013406227232213297,0.00013406227232213297,5.403371450052319e-05,5.403371450052319e-05,2,2,False
transformer,21,0.00027146474452615087,0.00027146474452615087,0.00017754937861886867,0.00017754937861886867,4,4,False
transformer,22,0.0102322397399341,0.0102322397399341,0.007545441959883515,0.007545441959883515,5,5,False
transformer,23,0.02337487965048406,0.02337487965048406,0.01658018840401545,0.01658018840401545,5,5,True
transformer,24,0.08768074432400245,0.08768074432400245,0.03503139286753114,0.03503139286753114,5,5,True
transformer,25,0.2775707279157867,0.2775707279157867,0.14422429176735252,0.14422429176735252,5,5,True
transformer,26,0.41535667774930063,0.41535667774930063,0.24440220668278467,0.24440220668278467,5,5,True
transformer,27,0.0026534248297847896,0.0026534248297847896,0.0015639644034429966,0.0015639644034429966,4,4,False
transformer,28,0.0014404194388661696,0.0014404194388661696,0.0014172788289392724,0.0014172788289392724,4,4,False
