variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate,architecture
F0-C,44,42,7,0.5109719001601373,0.7206892188652102,1.0,4.0,0.0,tcn
F0-C,44,42,8,0.9918529818942552,0.9972180173636297,1.0,29.4,0.0,tcn
F0-C,44,42,9,0.5262729742757147,0.7257661328045992,0.0,,0.0,tcn
F0-C,44,42,10,0.9595807460498854,0.9853364001114752,1.0,39.0,0.0,tcn
F0-C,44,42,11,0.9392972266293876,0.9769542391222638,1.0,11.65,0.0,tcn
F0-C,44,42,12,0.797773475398155,0.9141084060734248,1.0,27.75,0.0,tcn
F0-C,44,42,13,0.9887117547421715,0.9962627165027201,1.0,37.35,0.0,tcn
F0-C,44,42,14,0.9966583793466054,0.9987067858221073,1.0,5.9,0.0,tcn
F0-C,44,42,15,0.5186148741523141,0.7198397499728478,0.0,,0.0,tcn
F0-C,44,42,16,0.5117533922845636,0.715554292895701,0.0,,0.0,tcn
F0-C,44,42,17,0.9844785213867716,0.9945713740709159,1.0,33.15,0.0,tcn
F0-C,44,42,18,0.9343453910912388,0.9757095967372135,1.0,59.45,0.0,tcn
F0-C,44,42,19,0.7727111956793753,0.902003749083853,1.0,129.95,0.0,tcn
F0-C,44,42,20,0.9837193332174526,0.9943461439169121,1.0,43.9,0.0,tcn
F0-C,44,42,21,0.5019468391070282,0.7081250142836618,0.0,,0.0,tcn
F0-C,44,42,22,0.5411333842468802,0.7354517259341765,0.0,,0.0,tcn
F0-C,44,42,23,0.5191886778380604,0.7208470655017294,0.0,,0.0,tcn
F0-C,44,42,24,0.8631674883102249,0.9439800809884932,1.0,35.5,0.0,tcn
F0-C,44,42,25,0.6328010340504377,0.8035010263225044,0.65,635.0769230769231,0.0,tcn
F0-C,44,42,26,0.5363005298460636,0.734148394621705,0.15,1042.3333333333333,0.0,tcn
F0-C,44,42,27,0.7829387841647775,0.903589065686135,1.0,32.2,0.0,tcn
F0-C,44,42,28,0.5675662061024755,0.7638688166116372,0.05,1322.0,0.0,tcn
F0,45,42,1,0.9989347049171637,0.9996335282994296,1.0,7.0,0.0,tcn
F0,45,42,2,0.9975527996903273,0.9991464626169321,1.0,16.25,0.0,tcn
F0,45,42,3,0.5249424233122406,0.7221777118905144,0.0,,0.0,tcn
F0,45,42,4,0.5009059591039708,0.7099245051235593,1.0,4.0,0.0,tcn
F0,45,42,5,0.4940151464719871,0.7048687581591857,0.0,,0.0,tcn
F0,45,42,6,0.9996062921993789,0.9998701371790799,1.0,3.0,0.0,tcn
F0,45,42,7,0.5125184916029631,0.7224977332674094,1.0,4.0,0.0,tcn
F0,45,42,8,0.9918808703134573,0.9972293576562171,1.0,28.35,0.0,tcn
F0,45,42,9,0.5270268584369171,0.7262969231326752,0.0,,0.0,tcn
F0,45,42,10,0.9591185792531611,0.9851343140702933,1.0,39.65,0.0,tcn
F0,45,42,11,0.9395133102558129,0.9770217551045465,1.0,11.95,0.0,tcn
F0,45,42,12,0.8009447822243919,0.9156418635233218,1.0,27.95,0.0,tcn
F0,45,42,13,0.9887539310065966,0.9962766851463447,1.0,37.35,0.0,tcn
F0,45,42,14,0.9966742143226094,0.9987115628939187,1.0,5.95,0.0,tcn
F0,45,42,15,0.5188863154741432,0.7198209497254534,0.0,,0.0,tcn
F0,45,42,16,0.511553864806658,0.7155160289732236,0.0,,0.0,tcn
F0,45,42,17,0.9838848762110459,0.9943455556177371,1.0,33.0,0.0,tcn
F0,45,42,18,0.936059966419249,0.9763672529981354,1.0,59.3,0.0,tcn
F0,45,42,19,0.7733429674584771,0.9022324768576772,1.0,137.85,0.0,tcn
F0,45,42,20,0.9841035733173565,0.9945054985827332,1.0,43.8,0.0,tcn
F0,45,42,21,0.501677699989768,0.7081974946743748,0.0,,0.0,tcn
F0,45,42,22,0.5419114307692877,0.7362304336527846,0.0,,0.0,tcn
F0,45,42,23,0.5186601570060368,0.7204943947554608,0.0,,0.0,tcn
F0,45,42,24,0.8601800065090442,0.9424324527563513,1.0,35.5,0.0,tcn
F0,45,42,25,0.6326613515635883,0.8035984071096705,0.6,590.8333333333334,0.0,tcn
F0,45,42,26,0.5360744977372441,0.7334965648233369,0.0,,0.0,tcn
F0,45,42,27,0.7835351352784035,0.9037236331237517,1.0,32.15,0.0,tcn
F0,45,42,28,0.5665588729491271,0.7629957210208517,0.0,,0.0,tcn
F1,45,42,1,0.9989929473026299,0.9996532909939223,1.0,6.7,0.0,tcn
F1,45,42,2,0.9977612154653905,0.9992173271937403,1.0,14.85,0.0,tcn
F1,45,42,3,0.5424475054211216,0.7343240260141671,0.0,,0.0,tcn
F1,45,42,4,0.6871687167690486,0.8250556180605976,1.0,4.0,0.0,tcn
F1,45,42,5,0.49438039261371414,0.7049779827334671,0.0,,0.0,tcn
F1,45,42,6,0.9995983069088327,0.9998677244961398,1.0,3.0,0.0,tcn
F1,45,42,7,0.999279191152631,0.9997589692702943,1.0,4.0,0.0,tcn
F1,45,42,8,0.9922205394863526,0.997349337280281,1.0,27.75,0.0,tcn
F1,45,42,9,0.5403453276034019,0.735323717171543,0.0,,0.0,tcn
F1,45,42,10,0.9596102648120821,0.985373362341641,1.0,38.4,0.0,tcn
F1,45,42,11,0.9519533173319329,0.9816650842779108,1.0,11.9,0.0,tcn
F1,45,42,12,0.8038418585786861,0.9171624263544135,1.0,27.2,0.0,tcn
F1,45,42,13,0.9888362309675176,0.996306522201651,1.0,36.35,0.0,tcn
F1,45,42,14,0.9963579925022714,0.9985855633694407,1.0,5.9,0.0,tcn
F1,45,42,15,0.5189221491187519,0.7203768229741838,0.0,,0.0,tcn
F1,45,42,16,0.5116698533862439,0.7154357129556121,0.0,,0.0,tcn
F1,45,42,17,0.9834571315332374,0.9941512997708465,1.0,32.6,0.0,tcn
