architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr
gru,46,conditional_XMV_01,conditional,1.0,10,20,0.8468353152275085,0.9228947466777409,0.959497768489726,0.0125,1.0,41.35,0.923210568936877,0.9596207570658852,0.01125,0.0003158222591361781,0.00012298857615922199,0.0012500000000000011
gru,46,conditional_XMV_01,conditional,1.0,11,20,0.8468353152275085,0.9825485049833887,0.9909306676453812,0.00825,1.0,8.35,0.9824344061461794,0.9908795838918288,0.00825,-0.00011409883720936431,-5.108375355233896e-05,0.0
gru,46,conditional_XMV_01,conditional,1.0,12,20,0.8468353152275085,0.8027375207641196,0.8799478691748489,0.011,1.0,25.3,0.8029352159468438,0.8800314933533525,0.01125,0.00019769518272416686,8.362417850360515e-05,-0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,13,20,0.8468353152275085,0.9478845514950166,0.9746818636284832,0.01125,1.0,33.7,0.9477892857142856,0.9746389297372916,0.01125,-9.526578073104641e-05,-4.293389119158775e-05,0.0
gru,46,conditional_XMV_01,conditional,1.0,14,20,0.8468353152275085,0.9956672757475084,0.9978531394342248,0.00975,1.0,3.75,0.9956656976744186,0.997849755012782,0.0095,-1.578073089758547e-06,-3.3844214428757624e-06,0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,15,20,0.8468353152275085,0.5124196636212625,0.6161711579402194,0.0115,0.0,302.0,0.5122161337209302,0.6159625027773169,0.01175,-0.00020352990033223328,-0.00020865516290247133,-0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,16,20,0.8468353152275085,0.5144313745847177,0.6142840421804218,0.0095,0.0,302.0,0.5141187084717608,0.6140962232550335,0.00975,-0.00031266611295688307,-0.00018781892538821676,-0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,17,20,0.8468353152275085,0.9527178363787376,0.9772240855171728,0.00825,1.0,30.75,0.9526912375415284,0.9772149537686164,0.008,-2.659883720923517e-05,-9.131748556323593e-06,0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,18,20,0.8468353152275085,0.8860086171096345,0.9381370045237112,0.0105,1.0,62.45,0.8856800041528239,0.9379143755589736,0.01075,-0.0003286129568106366,-0.0002226289647375701,-0.0002499999999999985
gru,46,conditional_XMV_01,conditional,1.0,19,20,0.8468353152275085,0.9544116279069768,0.975741123059195,0.01,1.0,27.35,0.9542154900332226,0.9755953682323236,0.00975,-0.00019613787375416525,-0.00014575482687140262,0.0002500000000000002
gru,46,conditional_XMV_01,conditional,1.0,20,20,0.8468353152275085,0.9394024086378736,0.970286281529884,0.0095,1.0,40.7,0.9394400332225914,0.9702826747183746,0.009,3.762458471778807e-05,-3.6068115094600728e-06,0.0005000000000000004
gru,46,conditional_XMV_01,conditional,1.0,21,20,0.8468353152275085,0.4978238787375415,0.5972119453009423,0.01075,0.0,302.0,0.4984669850498339,0.5975427313288815,0.01025,0.000643106312292363,0.0003307860279391228,0.0004999999999999987
