architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean
transformer,43,zero_XMV_06,zero,6.0,13,20,0.8510810136795044,0.9482724460132892,0.9748249324806492,0.009,1.0,33.85
transformer,43,zero_XMV_06,zero,6.0,14,20,0.8510810136795044,0.9894201827242524,0.9939151858924432,0.0115,1.0,3.95
transformer,43,zero_XMV_06,zero,6.0,15,20,0.8510810136795044,0.5119933762458472,0.6166297273432745,0.00975,0.0,302.0
transformer,43,zero_XMV_06,zero,6.0,16,20,0.8510810136795044,0.5065792358803987,0.6059135305904733,0.01125,0.0,302.0
transformer,43,zero_XMV_06,zero,6.0,17,20,0.8510810136795044,0.9508040074750832,0.9762379756862756,0.008,1.0,31.3
transformer,43,zero_XMV_06,zero,6.0,18,20,0.8510810136795044,0.8888527200996678,0.9400568289194426,0.01075,1.0,59.15
transformer,43,zero_XMV_06,zero,6.0,19,20,0.8510810136795044,0.9266064784053156,0.9587716139985673,0.00975,1.0,34.15
transformer,43,zero_XMV_06,zero,6.0,20,20,0.8510810136795044,0.9379690822259136,0.969259046483977,0.0095,1.0,41.15
transformer,43,zero_XMV_06,zero,6.0,21,20,0.8510810136795044,0.4987463247508306,0.5980176369539628,0.0115,0.0,302.0
transformer,43,zero_XMV_06,zero,6.0,22,20,0.8510810136795044,0.5645084717607973,0.6531057232431948,0.0105,0.0,302.0
transformer,43,zero_XMV_06,zero,6.0,23,20,0.8510810136795044,0.5386994393687707,0.6308531800079937,0.011,0.0,302.0
transformer,43,zero_XMV_06,zero,6.0,24,20,0.8510810136795044,0.9739212624584718,0.9867513541413708,0.01075,1.0,14.5
transformer,43,zero_XMV_06,zero,6.0,25,20,0.8510810136795044,0.9480017441860464,0.9719357217717136,0.00925,1.0,20.45
transformer,43,zero_XMV_06,zero,6.0,26,20,0.8510810136795044,0.9321229858803988,0.9638426798425695,0.0095,1.0,29.4
transformer,43,zero_XMV_06,zero,6.0,27,20,0.8510810136795044,0.7845142026578074,0.8612397619767472,0.00925,1.0,25.35
transformer,43,zero_XMV_06,zero,6.0,28,20,0.8510810136795044,0.5609001868770764,0.6638273900262583,0.0085,0.0,302.0
transformer,43,zero_XMV_07,zero,7.0,1,20,0.826835572719574,0.9949598006644518,0.9974609737038956,0.00775,1.0,4.6
transformer,43,zero_XMV_07,zero,7.0,2,20,0.826835572719574,0.9891392026578072,0.994412707129496,0.0095,1.0,13.55
transformer,43,zero_XMV_07,zero,7.0,3,20,0.826835572719574,0.5393485257475084,0.6307935205620837,0.0105,0.0,302.0
transformer,43,zero_XMV_07,zero,7.0,4,20,0.826835572719574,0.6351665282392026,0.7114044734237741,0.011,1.0,2.0
transformer,43,zero_XMV_07,zero,7.0,5,20,0.826835572719574,0.5004872093023256,0.6057326395687138,0.01175,0.05,287.0
transformer,43,zero_XMV_07,zero,7.0,6,20,0.826835572719574,0.9980318521594684,0.9990741366091112,0.009,1.0,1.0
transformer,43,zero_XMV_07,zero,7.0,7,20,0.826835572719574,0.9963470514950166,0.998161504261284,0.01025,1.0,2.0
transformer,43,zero_XMV_07,zero,7.0,8,20,0.826835572719574,0.968276661129568,0.984363417964593,0.00975,1.0,23.5
transformer,43,zero_XMV_07,zero,7.0,9,20,0.826835572719574,0.541287084717608,0.6353832675125645,0.01375,0.0,302.0
transformer,43,zero_XMV_07,zero,7.0,10,20,0.826835572719574,0.928638642026578,0.9628374960188402,0.01075,1.0,41.1
transformer,43,zero_XMV_07,zero,7.0,11,20,0.826835572719574,0.9453461794019934,0.9694169081118024,0.00925,1.0,10.25
transformer,43,zero_XMV_07,zero,7.0,12,20,0.826835572719574,0.7866952242524917,0.8691932794695125,0.00925,1.0,25.1
transformer,43,zero_XMV_07,zero,7.0,13,20,0.826835572719574,0.9476724667774088,0.9745553627409124,0.0105,1.0,34.25
transformer,43,zero_XMV_07,zero,7.0,14,20,0.826835572719574,0.990189264950166,0.9943897893228826,0.01075,1.0,3.95
transformer,43,zero_XMV_07,zero,7.0,15,20,0.826835572719574,0.5108134966777409,0.6159221480643919,0.00875,0.0,302.0
transformer,43,zero_XMV_07,zero,7.0,16,20,0.826835572719574,0.5090505606312292,0.6082633081530388,0.01075,0.0,302.0
