architecture,mode,fault_id,channel,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high
tcn,conditional,10,3,0.00022267441860464145,7.072466777404465e-05,0.0003707848837209396,0.0001280459745928908,5.361509125576808e-05,0.0001969155102031836
tcn,conditional,10,4,0.00020880398671096256,-2.378737541526815e-05,0.0004523421926910502,0.00011688489058053419,-1.1285006003176278e-05,0.00024737904221520853
tcn,conditional,10,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,10,6,0.0006646179401993191,0.0005553114617939793,0.0007715988372092921,0.00039591042463449247,0.0003368311372842846,0.00045602880365575537
tcn,conditional,10,7,-0.0007526578073089562,-0.0009031810631229186,-0.0006130980066445115,-0.00044134974925816414,-0.0005280627073346639,-0.00036082877104417674
tcn,conditional,10,8,0.00013737541528238584,2.972591362124216e-05,0.00022609634551495035,8.897765910377275e-05,2.6189390594022254e-05,0.00014365179804172557
tcn,conditional,10,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,10,10,-4.385382059803433e-05,-8.389534883723957e-05,-5.813953488424284e-06,-2.6760816444661994e-05,-4.714828399442572e-05,-7.3221943882532395e-06
tcn,conditional,10,11,6.411960132889472e-05,1.1623754152811945e-05,0.00011812292358804207,2.0363976791631932e-05,-7.76358090509746e-06,4.8154411672880484e-05
tcn,conditional,11,1,0.001049501661129576,0.0009170805647840648,0.0011868853820598047,0.0006257667736435013,0.0005531478037464225,0.0007020338197154285
tcn,conditional,11,2,-0.0012111295681063161,-0.0013661171096345523,-0.0010587915282392105,-0.0007429415886019408,-0.0008276640891378183,-0.0006554875049253135
tcn,conditional,11,3,0.000249169435215959,2.806063122925448e-05,0.0004453779069767384,0.00013499949662173604,1.1471369725379573e-05,0.0002471709356032878
tcn,conditional,11,4,-0.001039036544850499,-0.001352242524916936,-0.0007129401993355538,-0.0006341211592346052,-0.0008237257217593759,-0.000440257816295391
tcn,conditional,11,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,11,6,-0.00166503322259136,-0.0021721968438538184,-0.0011989015780730758,-0.0009700915801597088,-0.0012501084177113844,-0.0007107983962092898
tcn,conditional,11,7,-0.000630232558139534,-0.000791362126245843,-0.00043534053156145055,-0.0003721489971147818,-0.0004624659099725501,-0.0002614819118956336
tcn,conditional,11,8,-0.00011295681063121953,-0.0001850539867109695,-1.8596345514906843e-05,-6.639952659579285e-05,-0.00010910712914110255,-7.498403525053774e-06
tcn,conditional,11,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,11,10,0.018802657807308974,0.015516914451827237,0.02218046096345516,0.010592688156004018,0.008683101718821605,0.012493170822258936
tcn,conditional,11,11,-8.588039867110653e-05,-0.00014186877076413765,-3.006644518270332e-05,-4.93372132638914e-05,-8.038823593467779e-05,-1.7596368114402075e-05
tcn,conditional,12,1,0.0004719269102989976,0.00030647425249168635,0.0006332392026577918,0.00036588276152510924,0.00026530215094838154,0.0004612112927134827
tcn,conditional,12,2,0.0019465116279069783,0.001664522425249174,0.0022264493355481792,0.001218156557280854,0.001040177537157314,0.00139440822419271
tcn,conditional,12,3,8.28903654485047e-05,-0.0001616569767441962,0.0003348006644518264,0.00011785533367429935,-4.012434088155009e-05,0.00029520995562840513
tcn,conditional,12,4,0.0014845514950166084,0.0010820099667774024,0.0019181935215946766,0.0013563425620857494,0.0010477835333231192,0.001668902680592496
tcn,conditional,12,5,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,12,6,0.0002958471760797343,0.0001431852159468396,0.0004413870431893651,0.0002098309121532349,0.00011708926445228732,0.0003023066880236027
tcn,conditional,12,7,0.0006258305647840478,0.0004798961794019853,0.0007810755813953463,0.00043078350748363857,0.00034447545326792066,0.0005261613659476456
tcn,conditional,12,8,0.00023480066445182856,0.00016129568106312492,0.00031088870431894236,0.00014346478194528057,0.00010052481405549024,0.0001882651414889529
tcn,conditional,12,9,0.0,0.0,0.0,0.0,0.0,0.0
tcn,conditional,12,10,5.099667774086103e-05,-3.98754152823923e-05,0.00014369186046511045,4.8936735907579856e-05,-9.398068000833397e-06,0.00010842174992500683
tcn,conditional,12,11,-8.22259136212633e-05,-0.00020650332225914027,4.169850498338943e-05,-0.00014882711656852065,-0.0002442997647626169,-5.344646152212258e-05
