architecture,mode,fault_id,channel,mean_delta_auroc,median_delta_auroc,min_delta_auroc,mean_delta_auprc,positive_auroc_seeds,max_abs_pre_fpr_shift,stable_material_raw,method,r2,std_ratio,wasserstein,ks_statistic,observed_lag1,predicted_lag1,observed_std,imputer_reliable,stable_material,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high,run_ci_excludes_zero
gru,conditional,5,2.0,-8.439784053155819e-05,-9.032392026653291e-06,-0.0007069767441860719,-0.00010624173323086073,2,0.0007499999999999989,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
gru,conditional,5,3.0,1.79277408637879e-05,1.559385382060574e-05,-0.00017039036544852504,-4.402321915975005e-05,3,0.0005000000000000004,False,legacy_mean,0.9645213980895376,0.9826198816299438,0.0132580876337276,0.0045016407966613,0.9338504025323758,0.9224820453538722,0.9988558888435364,True,False,,,,,,,False
gru,conditional,5,4.0,-0.0003131644518272636,-0.0003363787375415539,-0.0008261212624584569,-0.00047184926397128015,2,0.0014999999999999996,False,legacy_mean,0.578858077860626,0.7629849314689636,0.188949346998356,0.0666544735431671,0.6053401041017571,0.6451221459408996,0.995981752872467,True,False,,,,,,,False
gru,conditional,5,5.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,5,6.0,6.956395348836075e-05,9.476744186043273e-05,-7.186461794028709e-05,1.1038158431841971e-05,4,0.0002500000000000002,False,legacy_mean,0.997028398791882,0.99845689535141,0.0014378663426005,0.0010824799537658,0.982810815577105,0.9823900750798902,0.9907699823379515,True,False,,,,,,,False
gru,conditional,5,7.0,-3.5049833887024205e-06,-3.7500000000023626e-05,-0.00018822674418605967,3.16292385800665e-05,1,0.0007500000000000007,False,legacy_mean,0.7184863700707094,0.8477235436439514,0.1213696854402002,0.0426122844219207,0.8106234837175326,0.886557398930125,0.994693160057068,True,False,,,,,,,False
gru,conditional,5,8.0,-0.0001585423588039814,-5.861710963461775e-05,-0.0008139534883720989,-6.924191616253239e-05,2,0.0009999999999999992,False,legacy_mean,0.2974372147454651,0.5468789935112,0.3615364657126344,0.1433535814285278,0.5001105345716035,0.6359453685855146,0.9983698129653932,False,False,,,,,,,False
gru,conditional,5,9.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,5,10.0,-0.00010581810631228316,-7.373338870431123e-05,-0.00033731312292351046,-2.125441377993642e-05,1,0.0005000000000000004,False,legacy_mean,0.1901592773672956,0.4344758987426758,0.4539596056210538,0.1942001581192016,0.1148842134756825,0.4754276976683602,1.00121009349823,False,False,,,,,,,False
gru,conditional,5,11.0,0.0005165074750830389,0.0004931893687707412,-0.0002748131229236006,0.0001702742715772976,4,0.0007500000000000007,False,legacy_mean,0.0145931334962615,0.1211393773555755,0.7025116868592033,0.3832193613052368,-0.013847639476689,-0.2776265762891957,0.9969984889030457,False,False,,,,,,,False
gru,conditional,6,1.0,-4.9667774086215035e-06,-9.01162790700738e-06,-1.2749169435055663e-05,-1.944242670903762e-06,1,0.0005000000000000004,False,legacy_mean,0.9735514594657588,0.9860982298851012,0.0107001973907897,0.0037028193473815,0.9716406840851836,0.972594011099527,1.0054640769958496,True,False,,,,,,,False
gru,conditional,6,2.0,-5.54401993362319e-06,-6.125415282443036e-06,-1.6154485049879597e-05,-1.7455123006770989e-06,1,0.0005000000000000004,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
gru,conditional,6,3.0,-1.8687707641351636e-06,-3.322259134463934e-07,-1.333056478403094e-05,-8.091392778464268e-07,2,0.0017499999999999998,False,legacy_mean,0.9645213980895376,0.9826198816299438,0.0132580876337276,0.0045016407966613,0.9338504025323758,0.9224820453538722,0.9988558888435364,True,False,,,,,,,False
gru,conditional,6,4.0,-4.476744186050485e-05,-4.601328903663937e-05,-5.934385382055929e-05,-1.5994919704120925e-05,0,0.0012500000000000002,False,legacy_mean,0.578858077860626,0.7629849314689636,0.188949346998356,0.0666544735431671,0.6053401041017571,0.6451221459408996,0.995981752872467,True,False,,,,,,,False
gru,conditional,6,5.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,6,6.0,2.225913621245468e-06,3.031561461752652e-06,-7.475083058094967e-07,6.723167493838389e-07,4,0.0005000000000000004,False,legacy_mean,0.997028398791882,0.99845689535141,0.0014378663426005,0.0010824799537658,0.982810815577105,0.9823900750798902,0.9907699823379515,True,False,,,,,,,False
gru,conditional,6,7.0,-1.2981727574801205e-05,-1.582225913621116e-05,-2.1470099667686426e-05,-3.792280247472135e-06,0,0.0005000000000000004,False,legacy_mean,0.7184863700707094,0.8477235436439514,0.1213696854402002,0.0426122844219207,0.8106234837175326,0.886557398930125,0.994693160057068,True,False,,,,,,,False
