variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate,architecture
F0-C,42,42,7,0.514273018039175,0.724673379969158,1.0,4.0,0.0,tcn
F0-C,42,42,8,0.9924061088859549,0.9974272317630865,1.0,27.85,0.0,tcn
F0-C,42,42,9,0.5281802844994754,0.7273948397068964,0.0,,0.0,tcn
F0-C,42,42,10,0.960168828335053,0.9855384359962406,1.0,39.25,0.0,tcn
F0-C,42,42,11,0.9442513150611641,0.9788827006352009,1.0,12.0,0.0,tcn
F0-C,42,42,12,0.8058848725127253,0.9181213255266814,1.0,26.95,0.0,tcn
F0-C,42,42,13,0.9888099266623026,0.9962945970527395,1.0,36.8,0.0,tcn
F0-C,42,42,14,0.9971965373857065,0.9989252328123314,1.0,6.0,0.0,tcn
F0-C,42,42,15,0.5180042845044065,0.7196218457037619,0.0,,0.0,tcn
F0-C,42,42,16,0.5120727052845303,0.7157720630827551,0.0,,0.0,tcn
F0-C,42,42,17,0.9854305677291941,0.9949325346297729,1.0,32.85,0.0,tcn
F0-C,42,42,18,0.9345052479169209,0.9757977364238972,1.0,59.7,0.0,tcn
F0-C,42,42,19,0.7753878582902171,0.9031190248066456,1.0,130.65,0.0,tcn
F0-C,42,42,20,0.9853891742759613,0.9950208947136882,1.0,43.7,0.0,tcn
F0-C,42,42,21,0.501790477194306,0.708104462160263,0.0,,0.0,tcn
F0-C,42,42,22,0.5434798946964849,0.7369715884314717,0.0,,0.0,tcn
F0-C,42,42,23,0.5194705021949533,0.7212761915083752,0.0,,0.0,tcn
F0-C,42,42,24,0.8788523433175661,0.9506962522692373,1.0,33.25,0.0,tcn
F0-C,42,42,25,0.6392349407467403,0.8073664260699773,0.55,554.4545454545455,0.0,tcn
F0-C,42,42,26,0.5417749904768244,0.7378905812125722,0.1,1118.0,0.0,tcn
F0-C,42,42,27,0.7906779422297668,0.9071219614125894,1.0,33.65,0.0,tcn
F0-C,42,42,28,0.5683021503268699,0.7641472085429801,0.05,1212.0,0.0,tcn
