condition,fault_id,group,auroc_loss_mean,auroc_loss_sd,positive_seeds,signflip_p,bh_q_global,bh_q_within_fault,fpr_delta_mean,fpr_delta_ci_low,fpr_delta_ci_high,ci_outside_tolerance,ci_fully_inside_tolerance
keep_last_10,22,NO_GAIN,0.0007705980066445184,0.001034036653959752,4,0.1875,0.29605263157894735,0.2556818181818182,-0.00014999999999999993,-0.0012499999999999998,0.0009500000000000001,False,True
keep_last_10,23,NO_GAIN,0.004111569767441892,0.0006651598295615912,5,0.0625,0.11824324324324324,0.10416666666666667,0.0005499999999999999,-0.0006000000000000001,0.0018499999999999999,False,True
keep_last_10,24,GAIN,0.003275116279069712,0.0026243109041202087,4,0.125,0.205078125,0.1875,0.00034999999999999994,-0.0012999999999999997,0.0019000000000000002,False,True
keep_last_10,25,GAIN,0.0283077533222591,0.0032344943908043074,5,0.0625,0.11824324324324324,0.13392857142857142,-0.0008,-0.0021,0.0004000000000000001,False,True
keep_last_10,26,GAIN,0.031815664451827264,0.00289226654872869,5,0.0625,0.11824324324324324,0.09375,0.00045000000000000004,-0.0009500000000000001,0.0017500000000000003,False,True
keep_last_10,27,NO_GAIN,0.00816823504983386,0.002401216375919943,5,0.0625,0.11824324324324324,0.09375,-0.00025000000000000006,-0.0012499999999999998,0.0007500000000000001,False,True
keep_last_10,28,NO_GAIN,0.0036004568106312584,0.0007453363814389661,5,0.0625,0.11824324324324324,0.09375,0.0009999999999999998,-0.0006000000000000001,0.0026000000000000003,False,True
keep_last_5,1,NO_GAIN,0.00012250000000006976,7.342825335235463e-05,5,0.0625,0.11824324324324324,0.10416666666666667,0.0019,0.00045000000000000004,0.0034999999999999996,False,True
keep_last_5,2,NO_GAIN,0.00032567275747510396,5.163679944053535e-05,5,0.0625,0.11824324324324324,0.10416666666666667,-1.3010426069826053e-19,-0.00105,0.0009999999999999998,False,True
keep_last_5,3,GAIN,0.0024464410299003037,0.0014747196147379903,5,0.0625,0.11824324324324324,0.1171875,-0.0010500000000000002,-0.0022499999999999994,4.9999999999999874e-05,False,True
keep_last_5,4,GAIN,0.09750653654485057,0.08567628059370747,4,0.125,0.205078125,0.1875,0.0012000000000000001,0.0,0.00245,False,True
keep_last_5,5,NO_GAIN,0.0010477699335548318,0.0014426941661516235,3,0.25,0.37906137184115524,0.3125,0.0013499999999999999,-1.7455654977016524e-19,0.0028000000000000004,False,True
keep_last_5,6,NO_GAIN,-3.448504983392109e-05,1.1283712451947412e-05,0,0.0625,0.11824324324324324,0.13392857142857142,0.00045000000000000004,-0.0011,0.0018000000000000002,False,True
keep_last_5,7,GAIN,-1.191860465115102e-05,2.0726710487524643e-05,1,0.25,0.37906137184115524,0.4166666666666667,0.00015000000000000018,-0.0014999999999999998,0.0018000000000000002,False,True
keep_last_5,8,NO_GAIN,4.5319767441887035e-05,0.00015034724301384896,3,0.5625,0.7429245283018868,0.703125,-0.0006000000000000001,-0.0017500000000000003,0.0006500000000000002,False,True
keep_last_5,9,NO_GAIN,0.00152913621262456,0.0011363793754552692,4,0.125,0.205078125,0.1875,-0.0002500000000000001,-0.0014500000000000003,0.0009500000000000001,False,True
keep_last_5,10,NO_GAIN,0.0027586544850497718,0.0015412737405675696,5,0.0625,0.11824324324324324,0.08522727272727272,0.0014500000000000001,-0.00014999999999999996,0.0033,False,True
keep_last_5,11,NO_GAIN,0.004470789036544942,0.0018987330677612921,5,0.0625,0.11824324324324324,0.10416666666666667,-0.0015499999999999995,-0.00275,-0.00030000000000000003,False,True
keep_last_5,12,NO_GAIN,0.0063308347176079804,0.0013016700295935724,5,0.0625,0.11824324324324324,0.1171875,0.00055,-0.0006500000000000001,0.0018500000000000003,False,True
keep_last_5,13,NO_GAIN,0.0008055564784052782,0.00018306391480506332,5,0.0625,0.11824324324324324,0.10416666666666667,-0.00075,-0.00235,0.0007499999999999998,False,True
keep_last_5,14,NO_GAIN,0.0002577325581394785,0.0003450617735490189,4,0.125,0.205078125,0.20833333333333334,-0.0006500000000000001,-0.0020499999999999997,0.0007999999999999997,False,True
keep_last_5,15,NO_GAIN,0.004952794850498332,0.0014523453786746965,5,0.0625,0.11824324324324324,0.1171875,0.00020000000000000015,-0.0009999999999999998,0.00135,False,True
keep_last_5,16,NO_GAIN,0.0006114950166112854,0.0013286521517776855,3,0.5,0.6730769230769231,0.6818181818181818,-0.0007,-0.0021000000000000003,0.0007000000000000001,False,True
keep_last_5,17,NO_GAIN,8.687707641195087e-05,0.00033182392136391813,3,0.6875,0.8697289156626506,0.9375,-0.0001,-0.0012000000000000001,0.00105,False,True
keep_last_5,18,NO_GAIN,0.0013032101328903645,0.0023146642394554903,4,0.3125,0.4605263157894737,0.5208333333333334,2.168404344971009e-20,-0.0016,0.0017499999999999998,False,True
keep_last_5,19,GAIN,0.02983206395348841,0.007596834394745261,5,0.0625,0.11824324324324324,0.08522727272727272,0.0002499999999999999,-0.0013000000000000002,0.0017499999999999998,False,True
keep_last_5,20,NO_GAIN,0.00045036544850509677,0.0002454751671640966,5,0.0625,0.11824324324324324,0.15625,-0.001,-0.002,-8.673617379884036e-20,False,True
keep_last_5,21,NO_GAIN,-0.0030381852159468647,0.0015568083926929294,0,0.0625,0.11824324324324324,0.13392857142857142,-0.00010000000000000009,-0.00145,0.0011999999999999997,False,True
keep_last_5,22,NO_GAIN,0.0009701536544850286,0.0008273332675337775,5,0.0625,0.11824324324324324,0.09375,-0.0003000000000000001,-0.0016,0.001,False,True
keep_last_5,23,NO_GAIN,0.00672622093023254,0.0009684662331788182,5,0.0625,0.11824324324324324,0.10416666666666667,0.0007999999999999997,-0.00035124999999999935,0.0020499999999999997,False,True
keep_last_5,24,GAIN,0.003909289867109677,0.0025948534528143726,5,0.0625,0.11824324324324324,0.1171875,0.00034999999999999994,-0.0012000000000000001,0.0018000000000000002,False,True
keep_last_5,25,GAIN,0.04728953488372092,0.007326724471902,5,0.0625,0.11824324324324324,0.13392857142857142,-0.00125,-0.0026,0.0001500000000000001,False,True
keep_last_5,26,GAIN,0.06273372093023258,0.007883457855404721,5,0.0625,0.11824324324324324,0.09375,9.999999999999998e-05,-0.0011512499999999993,0.0013,False,True
keep_last_5,27,NO_GAIN,0.013611731727574749,0.0021051152117784904,5,0.0625,0.11824324324324324,0.09375,-0.0004999999999999999,-0.0015499999999999997,0.0005000000000000001,False,True
keep_last_5,28,NO_GAIN,0.006135220099667804,0.000945031579004043,5,0.0625,0.11824324324324324,0.09375,0.00145,-6.559423143537252e-20,0.0030499999999999998,False,True
