seed,fault_id,f0_auroc,f0c_auroc,f1_auroc,f0_auprc,f0c_auprc,f1_auprc,f0_detected_run_ratio,f0c_detected_run_ratio,f1_detected_run_ratio,f0_detection_delay,f0c_detection_delay,f1_detection_delay,f0_prefault_fpr,f0c_prefault_fpr,f1_prefault_fpr,f0_threshold,f0c_threshold,f1_threshold,f1_minus_f0_auroc,f1_minus_f0_auprc,f1_minus_f0_detected_run_ratio,f1_minus_f0_detection_delay,f1_minus_f0_prefault_fpr,f1_minus_f0c_auroc,f1_minus_f0c_auprc,f1_minus_f0c_detected_run_ratio,f1_minus_f0c_detection_delay,f1_minus_f0c_prefault_fpr
42,7,0.5118394953518274,0.512506669304802,0.9993020498558272,0.7255174040220338,0.7255918225530738,0.9997651090104299,1.0,1.0,1.0,4.0,4.0,4.0,0.011312607944732296,0.011053540587219343,0.010967184801381693,0.8215875029563904,0.8246080875396729,0.8196030259132385,0.4874625545039998,0.2742477049883961,0.0,0.0,-0.0003454231433506032,0.4867953805510251,0.27417328645735617,0.0,0.0,-8.635578583764993e-05
43,7,0.5120585407166606,0.5230634853712929,0.9992905080136444,0.7271576982039242,0.7358372918581829,0.9997618636082207,1.0,1.0,1.0,4.0,4.0,4.0,0.01070811744386874,0.01070811744386874,0.011139896373056995,0.8208165168762207,0.8871942758560181,0.8420192003250122,0.4872319672969838,0.27260416540429655,0.0,0.0,0.00043177892918825483,0.4762270226423515,0.2639245717500378,0.0,0.0,0.00043177892918825483
44,7,0.5137082721569468,0.5121945372106527,0.9992917592787782,0.7278496385781308,0.7274593641439351,0.9997617488393401,1.0,1.0,1.0,4.0,4.0,4.0,0.01001727115716753,0.011139896373056995,0.010103626943005182,0.8282229900360107,0.8202648758888245,0.8198217749595642,0.4855834871218314,0.2719121102612093,0.0,0.0,8.635578583765166e-05,0.48709722206812556,0.272302384695405,0.0,0.0,-0.001036269430051813
45,7,0.5110789203122862,0.5110712986899316,0.9992767040320324,0.7253520800985547,0.7247735556962688,0.9997582495928221,1.0,1.0,1.0,4.0,4.0,4.0,0.01079447322970639,0.011226252158894647,0.009585492227979275,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.4881977837197462,0.27440616949426744,0.0,0.0,-0.0012089810017271146,0.4882054053421008,0.27498469389655333,0.0,0.0,-0.0016407599309153711
46,7,0.5127858770998757,0.5129031169445954,0.9992870839851623,0.7280385085632363,0.7272054907948772,0.9997606224069524,1.0,1.0,1.0,4.0,4.0,4.0,0.011398963730569948,0.011226252158894647,0.0114853195164076,0.8233305811882019,0.8199812173843384,0.8454441428184509,0.48650120688528664,0.27172211384371614,0.0,0.0,8.635578583765166e-05,0.48638396704056686,0.27255513161207523,0.0,0.0,0.00025906735751295325
42,8,0.9930375231607327,0.9928858581151633,0.9931115388835263,0.9976555696839758,0.9975999790234701,0.9976831868370662,1.0,1.0,1.0,25.8,25.85,25.25,0.009412780656303972,0.009758203799654577,0.009844559585492229,0.8215875029563904,0.8246080875396729,0.8196030259132385,7.40157227936411e-05,2.761715309040902e-05,0.0,-0.5500000000000007,0.00043177892918825657,0.00022568076836304574,8.320781359616447e-05,0.0,-0.6000000000000014,8.635578583765166e-05
43,8,0.9928017151578135,0.9933655580334304,0.9933533196742026,0.9975721680235718,0.997769925124003,0.9977720874066015,1.0,1.0,1.0,26.3,24.55,25.1,0.009758203799654577,0.008721934369602764,0.009930915371329879,0.8208165168762207,0.8871942758560181,0.8420192003250122,0.000551604516389137,0.0001999193830296564,0.0,-1.1999999999999993,0.0001727115716753016,-1.2238359227811912e-05,2.1622825985279093e-06,0.0,0.5500000000000007,0.0012089810017271146
44,8,0.9932001937919991,0.9928945214311514,0.9930422107820839,0.9977126387241866,0.997603288045935,0.9976592179779936,1.0,1.0,1.0,25.4,26.2,25.8,0.009585492227979275,0.009844559585492229,0.009499136442141624,0.8282229900360107,0.8202648758888245,0.8198217749595642,-0.00015798300991520797,-5.3420746192966995e-05,0.0,0.40000000000000213,-8.635578583765166e-05,0.00014768935093245616,5.592993205860708e-05,0.0,-0.3999999999999986,-0.0003454231433506049
45,8,0.9930285547332957,0.9926196036879653,0.9932319253826837,0.9976543405448299,0.9975023866183936,0.997729435813535,1.0,1.0,1.0,26.1,26.0,24.75,0.010362694300518135,0.010103626943005182,0.008808290155440414,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.00020337064938802385,7.509526870508321e-05,0.0,-1.3500000000000014,-0.0015544041450777212,0.0006123216947183652,0.00022704919514138222,0.0,-1.25,-0.001295336787564768
46,8,0.9928623491239295,0.9928364824533179,0.9934119380555956,0.9975940323390993,0.9975818577167176,0.9977948049542013,1.0,1.0,1.0,25.8,26.0,24.85,0.010362694300518135,0.010276338514680483,0.010189982728842832,0.8233305811882019,0.8199812173843384,0.8454441428184509,0.0005495889316661229,0.00020077261510198507,0.0,-0.9499999999999993,-0.00017271157167530332,0.0005754556022776747,0.00021294723748366273,0.0,-1.1499999999999986,-8.635578583765166e-05
