architecture,fault_id,channel,mean_normalized_xmv_ig,sd_normalized_xmv_ig,mean_abs_ig,mean_abs_convergence_delta,mean_delta_auroc,mean_delta_auprc,stable_material,ig_rank,chum_rank
tcn,23,7,0.02116519063711162,0.0022516602311592015,0.00026738176238718,0.00085242176428432,0.0003284551495016,0.0001420407049919,False,6.0,3.0
tcn,23,8,0.00976387299597258,0.0010123206111553418,0.00012359433312664003,0.00085242176428432,0.0001133928571428,0.0001235498454403,False,8.0,5.0
tcn,23,9,0.0,0.0,0.0,0.00085242176428432,4.152823884773227e-09,0.0,False,10.0,7.0
tcn,23,10,0.00689768744632598,0.0009238324724416897,8.744635269977152e-05,0.00085242176428432,-2.830149501662493e-05,-3.039375287077206e-05,False,9.0,9.0
tcn,23,11,0.01091328933835024,0.000549249294869276,0.00013811312091998,0.00085242176428432,4.2753322259136974e-05,0.000158909044501,False,7.0,6.0
tcn,25,1,0.0460270151495933,0.0040047651994797595,0.00198027896694832,0.00248808851465578,0.0095211877076412,0.0065784574043638,False,4.0,2.0
tcn,25,2,0.6661594867706299,0.014098026002881783,0.028746581822633697,0.00248808851465578,0.2899378363787376,0.2358046337981372,True,1.0,1.0
tcn,25,3,0.07292589545249932,0.002587151812936154,0.00314766759984188,0.00248808851465578,0.0004335299003321,0.000255184925218,False,3.0,5.0
tcn,25,4,0.0228689152747392,0.0012072925672932697,0.00098547816742204,0.00248808851465578,-0.0010191029900332,-0.0005506640592764,False,5.0,11.0
tcn,25,5,0.0,0.0,0.0,0.00248808851465578,0.0,0.0,False,10.0,7.0
tcn,25,6,0.16993584036827084,0.014135891673597233,0.00731937931850548,0.00248808851465578,1.3397009966809036e-05,1.5486216277560416e-05,False,2.0,6.0
tcn,25,7,0.01228667087852952,0.001160190943484248,0.0005286911851726,0.00248808851465578,0.0038183970099668,0.0021642308823778,False,6.0,3.0
tcn,25,8,0.00365093071013686,0.0008156906659049166,0.00015712179010727998,0.00248808851465578,0.0004547342192691,0.0002646349067138,False,7.0,4.0
tcn,25,9,0.0,0.0,0.0,0.00248808851465578,0.0,0.0,False,10.0,7.0
tcn,25,10,0.00276231728494164,0.0006988327576113036,0.00011884897830892211,0.00248808851465578,-0.0001702990033222,-0.0001029187794476,False,9.0,10.0
tcn,25,11,0.0033829140011220602,0.0003049225864489515,0.00014559978735628,0.00248808851465578,-5.715946843845021e-05,-2.0282347969047267e-05,False,8.0,9.0
tcn,26,1,0.03928550258278842,0.0033509626666904106,0.0015140982577577001,0.00304748755879694,0.0002107848837209,5.274111432880257e-05,False,5.0,5.0
tcn,26,2,0.0421421997249126,0.0011143094961317294,0.0016254207585006402,0.00304748755879694,0.0006081810631229,0.0003130179796874,False,4.0,3.0
tcn,26,3,0.08115793615579601,0.004829102458103443,0.0031300851609557404,0.00304748755879694,0.0009532225913621,0.0005674340625989,False,3.0,2.0
tcn,26,4,0.5923184752464294,0.020920889639559972,0.02284616902470582,0.00304748755879694,0.3652392068106312,0.3192723343003663,False,1.0,1.0
tcn,26,5,0.0,0.0,0.0,0.00304748755879694,-4.152823906977687e-09,0.0,False,10.0,7.0
tcn,26,6,0.228483909368515,0.02261040583536461,0.00881099030375474,0.00304748755879694,0.000490415282392,0.0002996064377699,False,2.0,4.0
tcn,26,7,0.0077882905490696,0.00025220232743298246,0.00030044881859787995,0.00304748755879694,-0.0005864742524916,-0.0003178614818797,False,6.0,11.0
tcn,26,8,0.0034953078255057003,0.0003051262152465517,0.00013488494878396,0.00304748755879694,-0.0002767940199335,-0.0001565156875838,False,7.0,10.0
tcn,26,9,0.0,0.0,0.0,0.00304748755879694,-4.152823906977687e-09,0.0,False,10.0,7.0
tcn,26,10,0.0018529935041442201,0.00029691274332066883,7.156140927691012e-05,0.00304748755879694,5.236295681063652e-05,3.3664273270739284e-05,False,9.0,6.0
tcn,26,11,0.00347541486844414,6.695496256092487e-05,0.00013401406176848001,0.00304748755879694,-2.7599667774080848e-05,-1.894181923467464e-05,False,8.0,9.0
tcn,27,1,0.09284110516309733,0.006679433113218255,0.00136832906864576,0.00085248969262462,-0.0007011877076411,-0.0003065310214207,False,4.0,9.0
tcn,27,2,0.09751279503107067,0.004252463978797581,0.00143904129508878,0.00085248969262462,-0.0024345390365448,-0.0017408870159054,False,3.0,11.0
tcn,27,3,0.23532446622848507,0.017625295389554922,0.00347099532373246,0.00085248969262462,0.0001567275747508,-0.0001081075000882,False,2.0,4.0
tcn,27,4,0.0860447987914085,0.004048531004299073,0.0012692962540313201,0.00085248969262462,0.0079881810631229,0.0066527417266027,False,5.0,2.0
tcn,27,5,0.0,0.0,0.0,0.00085248969262462,-4.152823929182148e-09,0.0,False,10.0,6.0
tcn,27,6,0.4019822239875793,0.03695806341832134,0.0059561983682214605,0.00085248969262462,-0.0004943397009967,-0.0003408985005332,False,1.0,8.0
tcn,27,7,0.0163340330123901,0.001390387517111202,0.00024077820417002,0.00085248969262462,-0.0020928986710963,-0.0013128648316805,False,7.0,10.0
tcn,27,8,0.0083008899353444,0.0010013352621637628,0.0001223404440679,0.00085248969262462,8.590946843856084e-05,5.870922819291024e-05,False,9.0,5.0
tcn,27,9,0.0,0.0,0.0,0.00085248969262462,-4.152823929182148e-09,0.0,False,10.0,6.0
tcn,27,10,0.0529325351119041,0.007562246004229083,0.00077928305836388,0.00085248969262462,0.0091948463455149,0.0057925881359072,False,6.0,1.0
tcn,27,11,0.00872716270387168,0.0004932079459148291,0.00012869479833168,0.00085248969262462,0.0001602408637873,0.0001155486654894,False,8.0,3.0
transformer,1,1,0.02834122553467744,0.003304270743258911,0.00205874568782742,0.0028517508413641998,9.044850498307611e-06,2.521407705735613e-07,False,6.0,5.0
transformer,1,2,0.04371187612414356,0.003933469488600041,0.0031768975779413603,0.0028517508413641998,5.3338870431907104e-05,2.254756504476152e-05,False,5.0,2.0
transformer,1,3,0.46638463735580443,0.03650320589735539,0.03405298143625254,0.0028517508413641998,1.1287375415247602e-05,3.9103441744403614e-06,False,1.0,4.0
transformer,1,4,0.25340335071086884,0.03263189372095564,0.0183385610580444,0.0028517508413641998,0.0001083139534883,5.526850414501183e-05,False,2.0,1.0
transformer,1,5,0.0,0.0,0.0,0.0028517508413641998,0.0,0.0,False,10.0,7.0
transformer,1,6,0.14184469729661936,0.027741939864155372,0.01039674207568162,0.0028517508413641998,-1.8604651162323904e-06,-4.099470637397573e-07,False,3.0,10.0
transformer,1,7,0.05123308971524234,0.006402968929950827,0.0036999179981648603,0.0028517508413641998,2.4875415282399335e-05,1.3949238058286184e-05,False,4.0,3.0
transformer,1,8,0.01193738821893924,0.0018465782165314182,0.0008629360818303599,0.0028517508413641998,-1.6295681063205336e-05,-8.36231858958314e-06,False,7.0,11.0
transformer,1,9,0.0,0.0,0.0,0.0028517508413641998,0.0,0.0,False,10.0,7.0
transformer,1,10,0.0024571064626797796,0.0007570786976764576,0.00017934884963322233,0.0028517508413641998,1.8770764119713237e-06,7.568334760454931e-07,False,8.0,6.0
transformer,1,11,0.00068664116552096,0.00014359526476889604,4.939849168295041e-05,0.0028517508413641998,-4.775747508567463e-07,-7.914776303463711e-07,False,9.0,9.0
transformer,4,1,0.12824770510196684,0.004343916180809492,0.00198473280761388,0.0015124053927138,-0.0232922425249169,-0.0206781071412341,False,4.0,11.0
transformer,4,2,0.19039245247840877,0.013257156830253048,0.00295524676330384,0.0015124053927138,-0.0217596096345515,-0.0189814918607705,False,2.0,10.0
transformer,4,3,0.0936326995491981,0.00792138545715318,0.0014434956712648,0.0015124053927138,0.0015379069767441,0.0012889335808129,False,6.0,3.0
transformer,4,4,0.12006439119577403,0.014785273382503909,0.0018456488614901402,0.0015124053927138,0.0028790406976744,0.0014639458149614,False,5.0,2.0
transformer,4,5,0.0,0.0,0.0,0.0015124053927138,-4.152823906977687e-09,-2.568114920720177e-09,False,10.0,5.0
transformer,4,6,0.13513089567422862,0.013571521847919864,0.00210350183770058,0.0015124053927138,0.0013662126245847,0.0014310955719965,False,3.0,4.0
transformer,4,7,0.03127758018672462,0.0028217731113414344,0.00048531738575543994,0.0015124053927138,-0.0021446594684385,-0.0025324296797081,False,7.0,9.0
transformer,4,8,0.01339691095054144,0.0022186544600621286,0.00020697621221182002,0.0015124053927138,-0.0006225,-0.0006212982723906,False,8.0,8.0
transformer,4,9,0.0,0.0,0.0,0.0015124053927138,-4.152823906977687e-09,-2.568114920720177e-09,False,10.0,5.0
transformer,4,10,0.27914193272590637,0.029385558294709773,0.004356350004672981,0.0015124053927138,0.1055024086378737,0.088165530690457,True,1.0,1.0
transformer,4,11,0.00871542431414124,0.0013020819629280935,0.00013387429644348,0.0015124053927138,-2.4705149501658145e-05,1.9474256956719672e-05,False,9.0,7.0
transformer,11,1,0.1026359528303146,0.005879706704875591,0.0018485839944332402,0.0014326897216960202,-0.0032990490033222,-0.0018257490260519,False,5.0,11.0
transformer,11,2,0.15535066723823543,0.01171582108454425,0.00280673168599602,0.0014326897216960202,-0.0003308098006644,-0.0001441009937,False,3.0,9.0
transformer,11,3,0.06528693884611127,0.00401710883318596,0.00117351305671032,0.0014326897216960202,4.792774086375129e-05,3.526285914492444e-05,False,6.0,4.0
transformer,11,4,0.11904625296592708,0.012308248881185839,0.00213619216810908,0.0014326897216960202,0.0014837375415282,0.0008408326649063,False,4.0,2.0
transformer,11,5,0.0,0.0,0.0,0.0014326897216960202,-4.152823929182148e-09,-6.635815164024451e-09,False,10.0,6.0
transformer,11,6,0.33689492940902704,0.018363690674923955,0.00608560545369978,0.0014326897216960202,-0.0001342607973422,-7.730966862411482e-05,False,1.0,8.0
transformer,11,7,0.040174738317727984,0.004091741808836415,0.00072428000858048,0.0014326897216960202,-0.0019170930232558,-0.0011281385060271,False,7.0,10.0
transformer,11,8,0.01182978916913266,0.0012637683179056683,0.00021279316861178002,0.0014326897216960202,0.0002397425249169,0.0001356762917732,False,8.0,3.0
transformer,11,9,0.0,0.0,0.0,0.0014326897216960202,-4.152823929182148e-09,-6.635815164024451e-09,False,10.0,6.0
transformer,11,10,0.16167182028293603,0.01830121839663764,0.0029181962832808004,0.0014326897216960202,0.0090407433554816,0.0049469801028473,False,2.0,1.0
transformer,11,11,0.0071089012548327,0.0007730590019080896,0.0001276975133805,0.0014326897216960202,1.0963455149282098e-06,-5.879656605323191e-06,False,9.0,5.0
transformer,19,1,0.06010137125849718,0.0063345401356895035,0.00212874060962346,0.0037507171276956403,0.0073139784053156,0.0049384994850608,False,6.0,3.0
transformer,19,2,0.093621152639389,0.008259226973636576,0.00331980143673714,0.0037507171276956403,-0.0025529775747508,-0.0013249586523543,False,3.0,10.0
transformer,19,3,0.037354134023189475,0.0012867940102403953,0.0013258845079689601,0.0037507171276956403,0.0003430149501661,0.0002184929670626,False,7.0,4.0
transformer,19,4,0.06544763594865793,0.007389545267139627,0.00230407719500356,0.0037507171276956403,-0.0165200705980065,-0.0103316712698434,False,5.0,11.0
transformer,19,5,0.0,0.0,0.0,0.0037507171276956403,4.152823951386608e-09,6.271162211746173e-09,False,10.0,7.0
transformer,19,6,0.07438587620854371,0.01272209645514362,0.00260571073740716,0.0037507171276956403,0.0001959468438538,0.0001257388343895,False,4.0,5.0
transformer,19,7,0.42150768637657166,0.048134548572548494,0.015125995501875822,0.0037507171276956403,0.1236563372093023,0.0852742332610412,True,1.0,1.0
transformer,19,8,0.2400617152452469,0.026122914048664594,0.008472037035971861,0.0037507171276956403,0.0530555357142857,0.0319834063799518,True,2.0,2.0
transformer,19,9,0.0,0.0,0.0,0.0037507171276956403,4.152823951386608e-09,6.271162211746173e-09,False,10.0,7.0
transformer,19,10,0.00342076187953348,0.0005216965329359118,0.00012048572243652,0.0037507171276956403,-5.950996677706044e-06,-4.7709540457185895e-06,False,9.0,9.0
transformer,19,11,0.004099668283015461,0.0002574032890903549,0.00014618517307094,0.0037507171276956403,0.0001755813953488,0.0001005038871339,False,8.0,6.0
transformer,23,1,0.19523068666458127,0.005412152149262363,0.00206028732936824,0.0012645880924537201,-0.0010282558139534,-0.0010559767185846,False,2.0,10.0
transformer,23,2,0.2420889794826507,0.0154270283451823,0.00256525175645942,0.0012645880924537201,-4.051910299005534e-05,0.0001658411549875,False,1.0,8.0
transformer,23,3,0.14961819052696224,0.008259808196527985,0.00157617921940978,0.0012645880924537201,0.0254214908637873,0.0214807627994324,True,5.0,1.0
transformer,23,4,0.15851611196994778,0.012897017632198788,0.0016683891648426,0.0012645880924537201,-0.0140161212624584,-0.0131878568878009,False,4.0,11.0
transformer,23,5,0.0,0.0,0.0,0.0012645880924537201,0.0,1.9811940332736812e-08,False,10.0,6.0
transformer,23,6,0.1790166079998016,0.01565203934256023,0.00189552952069784,0.0012645880924537201,0.0001094186046511,0.000137300332344,False,3.0,2.0
transformer,23,7,0.0368240430951118,0.0020478817116568247,0.00038918283535162,0.0012645880924537201,6.377491694349313e-05,7.695891618713091e-05,False,6.0,4.0
transformer,23,8,0.017697841674089398,0.0009551919509456546,0.0001872889755759,0.0012645880924537201,0.0001012790697674,0.0001511370539637,False,7.0,3.0
transformer,23,9,0.0,0.0,0.0,0.0012645880924537201,0.0,1.9811940332736812e-08,False,10.0,6.0
transformer,23,10,0.0085674186237156,0.0015502912589967326,9.03675201697929e-05,0.0012645880924537201,-4.912375415284664e-05,-6.566013378208612e-05,False,9.0,9.0
transformer,23,11,0.01244010310620066,0.0009778279362754932,0.00013100138166913998,0.0012645880924537201,2.7558139534877846e-05,0.0001304895860408,False,8.0,5.0
transformer,25,1,0.059592691063880876,0.004497603623299832,0.00193338235840196,0.0039156551007181,0.0132015240863787,0.0081948534183625,False,3.0,2.0
transformer,25,2,0.7281783699989319,0.020617295888575228,0.02372740581631656,0.0039156551007181,0.2636760755813953,0.1961382279831104,True,1.0,1.0
transformer,25,3,0.03667598068714138,0.004286788453419325,0.0011878163320943199,0.0039156551007181,0.0001100249169435,7.745461665742415e-05,False,5.0,8.0
transformer,25,4,0.05550555065274234,0.004434652383161868,0.0018020465271546798,0.0039156551007181,0.0017210049833887,0.0010799806056963,False,4.0,3.0
transformer,25,5,0.0,0.0,0.0,0.0039156551007181,4.152823929182148e-09,0.0,False,10.0,9.0
