architecture,seed,fault_id,channel,examples,target_samples,integration_steps,mean_abs_ig,normalized_xmv_ig,xmv_rank,mean_anomaly_score,mean_abs_convergence_delta
tcn,43,11,7,100,"620,680,740,800,860",32,0.0004573494370561093,0.01868562400341034,7,1.2895398139953613,0.0013057485921308398
tcn,43,11,8,100,"620,680,740,800,860",32,0.00010928136180154979,0.0044648367911577225,9,1.2895398139953613,0.0013057485921308398
tcn,43,11,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.2895398139953613,0.0013057485921308398
tcn,43,11,10,100,"620,680,740,800,860",32,0.002586864633485675,0.10568982362747192,3,1.2895398139953613,0.0013057485921308398
tcn,43,11,11,100,"620,680,740,800,860",32,0.0001394838618580252,0.005698800086975098,8,1.2895398139953613,0.0013057485921308398
tcn,43,19,1,100,"620,680,740,800,860",32,0.0016397340223193169,0.05362239480018616,6,1.0136040449142456,0.0023991574998944998
tcn,43,19,2,100,"620,680,740,800,860",32,0.0018055472755804658,0.05904480069875717,5,1.0136040449142456,0.0023991574998944998
tcn,43,19,3,100,"620,680,740,800,860",32,0.0025312097277492285,0.08277533203363419,4,1.0136040449142456,0.0023991574998944998
tcn,43,19,4,100,"620,680,740,800,860",32,0.0015528572257608175,0.050781358033418655,7,1.0136040449142456,0.0023991574998944998
tcn,43,19,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.0136040449142456,0.0023991574998944998
tcn,43,19,6,100,"620,680,740,800,860",32,0.005426849704235792,0.1774682253599167,3,1.0136040449142456,0.0023991574998944998
tcn,43,19,7,100,"620,680,740,800,860",32,0.01168806478381157,0.3822217583656311,1,1.0136040449142456,0.0023991574998944998
tcn,43,19,8,100,"620,680,740,800,860",32,0.005692123435437679,0.1861431747674942,2,1.0136040449142456,0.0023991574998944998
tcn,43,19,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.0136040449142456,0.0023991574998944998
tcn,43,19,10,100,"620,680,740,800,860",32,9.056688577402383e-05,0.0029617079999297857,9,1.0136040449142456,0.0023991574998944998
tcn,43,19,11,100,"620,680,740,800,860",32,0.00015232060104608536,0.004981170874089003,8,1.0136040449142456,0.0023991574998944998
tcn,43,23,1,100,"620,680,740,800,860",32,0.0016541078221052885,0.12886197865009308,4,0.6421012878417969,0.0008084551664069295
tcn,43,23,2,100,"620,680,740,800,860",32,0.0016680796397849917,0.12995043396949768,3,0.6421012878417969,0.0008084551664069295
tcn,43,23,3,100,"620,680,740,800,860",32,0.0038419547490775585,0.2993044853210449,2,0.6421012878417969,0.0008084551664069295
tcn,43,23,4,100,"620,680,740,800,860",32,0.0010584720876067877,0.08245944231748581,5,0.6421012878417969,0.0008084551664069295
tcn,43,23,5,100,"620,680,740,800,860",32,0.0,0.0,10,0.6421012878417969,0.0008084551664069295
tcn,43,23,6,100,"620,680,740,800,860",32,0.00398625573143363,0.3105461299419403,1,0.6421012878417969,0.0008084551664069295
tcn,43,23,7,100,"620,680,740,800,860",32,0.0002744729572441429,0.02138260006904602,6,0.6421012878417969,0.0008084551664069295
tcn,43,23,8,100,"620,680,740,800,860",32,0.00012210746353957802,0.009512686170637608,8,0.6421012878417969,0.0008084551664069295
tcn,43,23,9,100,"620,680,740,800,860",32,0.0,0.0,10,0.6421012878417969,0.0008084551664069295
tcn,43,23,10,100,"620,680,740,800,860",32,9.461664012633264e-05,0.0073710354045033455,9,0.6421012878417969,0.0008084551664069295
tcn,43,23,11,100,"620,680,740,800,860",32,0.000136209957418032,0.010611330159008503,7,0.6421012878417969,0.0008084551664069295
tcn,43,25,1,100,"620,680,740,800,860",32,0.002050449838861823,0.049913812428712845,4,1.1728591918945312,0.0021938106510788202
tcn,43,25,2,100,"620,680,740,800,860",32,0.02683945558965206,0.6533491015434265,1,1.1728591918945312,0.0021938106510788202
tcn,43,25,3,100,"620,680,740,800,860",32,0.002910417737439275,0.07084789127111435,3,1.1728591918945312,0.0021938106510788202
tcn,43,25,4,100,"620,680,740,800,860",32,0.0009990765247493982,0.02432037889957428,5,1.1728591918945312,0.0021938106510788202
tcn,43,25,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.1728591918945312,0.0021938106510788202
tcn,43,25,6,100,"620,680,740,800,860",32,0.0073274350725114346,0.17837072908878326,2,1.1728591918945312,0.0021938106510788202
tcn,43,25,7,100,"620,680,740,800,860",32,0.0005441399989649653,0.013245923444628716,6,1.1728591918945312,0.0021938106510788202
tcn,43,25,8,100,"620,680,740,800,860",32,0.00014695926802232862,0.0035774088464677334,8,1.1728591918945312,0.0021938106510788202
tcn,43,25,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.1728591918945312,0.0021938106510788202
tcn,43,25,10,100,"620,680,740,800,860",32,0.00010086932161357254,0.0024554478004574776,9,1.1728591918945312,0.0021938106510788202
tcn,43,25,11,100,"620,680,740,800,860",32,0.00016100160428322852,0.003919239621609449,7,1.1728591918945312,0.0021938106510788202
tcn,43,26,1,100,"620,680,740,800,860",32,0.0016460191691294312,0.04285873845219612,5,1.1351574659347534,0.0027132804971188307
tcn,43,26,2,100,"620,680,740,800,860",32,0.001654788269661367,0.04308706894516945,4,1.1351574659347534,0.0027132804971188307
tcn,43,26,3,100,"620,680,740,800,860",32,0.0030632440466433764,0.07976017892360687,3,1.1351574659347534,0.0027132804971188307
tcn,43,26,4,100,"620,680,740,800,860",32,0.022797703742980957,0.5936023592948914,1,1.1351574659347534,0.0027132804971188307
tcn,43,26,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.1351574659347534,0.0027132804971188307
tcn,43,26,6,100,"620,680,740,800,860",32,0.00857291929423809,0.2232200652360916,2,1.1351574659347534,0.0027132804971188307
tcn,43,26,7,100,"620,680,740,800,860",32,0.0003133710124529898,0.008159495890140533,6,1.1351574659347534,0.0027132804971188307
tcn,43,26,8,100,"620,680,740,800,860",32,0.00014652666868641973,0.003815233940258622,7,1.1351574659347534,0.0027132804971188307
tcn,43,26,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.1351574659347534,0.0027132804971188307
tcn,43,26,10,100,"620,680,740,800,860",32,7.63871576054953e-05,0.001988954609259963,9,1.1351574659347534,0.0027132804971188307
tcn,43,26,11,100,"620,680,740,800,860",32,0.00013472491991706192,0.003507942194119096,8,1.1351574659347534,0.0027132804971188307
tcn,43,27,1,100,"620,680,740,800,860",32,0.0013557360507547855,0.09020160883665085,4,0.8109846115112305,0.0009359819232486188
tcn,43,27,2,100,"620,680,740,800,860",32,0.0014621842419728637,0.09728395938873291,3,0.8109846115112305,0.0009359819232486188
tcn,43,27,3,100,"620,680,740,800,860",32,0.003457864047959447,0.23006315529346466,2,0.8109846115112305,0.0009359819232486188
tcn,43,27,4,100,"620,680,740,800,860",32,0.0012404373846948147,0.08253040909767151,5,0.8109846115112305,0.0009359819232486188
tcn,43,27,5,100,"620,680,740,800,860",32,0.0,0.0,10,0.8109846115112305,0.0009359819232486188
tcn,43,27,6,100,"620,680,740,800,860",32,0.006221200805157423,0.41391709446907043,1,0.8109846115112305,0.0009359819232486188
tcn,43,27,7,100,"620,680,740,800,860",32,0.00025933104916475713,0.01725415326654911,7,0.8109846115112305,0.0009359819232486188
tcn,43,27,8,100,"620,680,740,800,860",32,0.00012211949797347188,0.00812501460313797,9,0.8109846115112305,0.0009359819232486188
tcn,43,27,9,100,"620,680,740,800,860",32,0.0,0.0,10,0.8109846115112305,0.0009359819232486188
tcn,43,27,10,100,"620,680,740,800,860",32,0.0007809145608916879,0.05195683240890503,6,0.8109846115112305,0.0009359819232486188
tcn,43,27,11,100,"620,680,740,800,860",32,0.00013027618115302175,0.008667705580592155,8,0.8109846115112305,0.0009359819232486188
tcn,44,1,1,100,"620,680,740,800,860",32,0.0033866707235574722,0.011128811165690422,6,6.354480266571045,0.007756559178233147
tcn,44,1,2,100,"620,680,740,800,860",32,0.004055771045386791,0.013327516615390778,5,6.354480266571045,0.007756559178233147
tcn,44,1,3,100,"620,680,740,800,860",32,0.2195654958486557,0.721505880355835,1,6.354480266571045,0.007756559178233147
