seed,condition,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean
42,conditional_XMV_04,6,20,0.823391318321228,0.9980120016611296,0.999066049746295,0.008,1.0,1.0
42,conditional_XMV_04,7,20,0.823391318321228,0.9967431063122923,0.9984117350005273,0.01,1.0,2.0
42,conditional_XMV_04,8,20,0.823391318321228,0.9683149916943522,0.9843239609722709,0.00925,1.0,23.6
42,conditional_XMV_04,9,20,0.823391318321228,0.5375081395348837,0.6335311280101923,0.0125,0.0,302.0
42,conditional_XMV_04,10,20,0.823391318321228,0.9147035299003322,0.9545447285784978,0.01025,1.0,43.3
42,conditional_XMV_04,11,20,0.823391318321228,0.9714707225913621,0.9845307137556133,0.0095,1.0,8.9
42,conditional_XMV_04,12,20,0.823391318321228,0.7714390573089701,0.8579961022889002,0.00975,1.0,26.65
42,conditional_XMV_04,13,20,0.823391318321228,0.9480611503322259,0.9746826103656067,0.011,1.0,34.1
42,conditional_XMV_04,14,20,0.823391318321228,0.9944297757475083,0.9970723090659456,0.01175,1.0,4.15
42,conditional_XMV_04,15,20,0.823391318321228,0.5127539867109635,0.6165409125713137,0.009,0.0,302.0
42,conditional_XMV_04,16,20,0.823391318321228,0.5081642026578073,0.6073220632554155,0.01075,0.0,302.0
42,conditional_XMV_04,17,20,0.823391318321228,0.950690884551495,0.975999486767948,0.00775,1.0,31.5
42,conditional_XMV_04,18,20,0.823391318321228,0.873596823089701,0.9306283170137296,0.009,1.0,62.75
42,conditional_XMV_04,19,20,0.823391318321228,0.9485555647840531,0.9726793928004714,0.0105,1.0,29.7
42,conditional_XMV_04,20,20,0.823391318321228,0.9392453696013289,0.9700499911618017,0.0095,1.0,41.45
42,conditional_XMV_04,21,20,0.823391318321228,0.5020456395348837,0.6014364074112494,0.01075,0.0,302.0
42,conditional_XMV_04,22,20,0.823391318321228,0.5538233388704319,0.6452921524554514,0.01325,0.0,302.0
42,conditional_XMV_04,23,20,0.823391318321228,0.5794325166112957,0.6724691113271626,0.01,0.0,302.0
42,conditional_XMV_04,24,20,0.823391318321228,0.9683175664451827,0.9835150901211936,0.00925,1.0,15.0
42,conditional_XMV_04,25,20,0.823391318321228,0.8679979858803987,0.9204397360260567,0.00925,1.0,35.85
42,conditional_XMV_04,26,20,0.823391318321228,0.8427933970099668,0.9083090031100104,0.0095,1.0,45.35
42,conditional_XMV_04,27,20,0.823391318321228,0.8049270764119602,0.8763312436300944,0.00825,1.0,24.45
42,conditional_XMV_04,28,20,0.823391318321228,0.552282599667774,0.656541852981416,0.0095,0.0,302.0
42,conditional_XMV_05,1,20,0.8194200396537781,0.9950453488372093,0.9975019488558962,0.00875,1.0,4.35
42,conditional_XMV_05,2,20,0.8194200396537781,0.9897280315614618,0.9947176269467549,0.0095,1.0,11.95
42,conditional_XMV_05,3,20,0.8194200396537781,0.5401351328903654,0.6339151595443463,0.01075,0.0,302.0
42,conditional_XMV_05,4,20,0.8194200396537781,0.9623112126245847,0.9731175611431905,0.0115,1.0,2.0
42,conditional_XMV_05,5,20,0.8194200396537781,0.501271511627907,0.6062633073090348,0.0115,0.05,287.0
42,conditional_XMV_05,6,20,0.8194200396537781,0.9979763289036545,0.999053047335399,0.008,1.0,1.0
42,conditional_XMV_05,7,20,0.8194200396537781,0.9967485049833887,0.9984144720614974,0.011,1.0,2.0
42,conditional_XMV_05,8,20,0.8194200396537781,0.9684860880398671,0.9844352303969036,0.0095,1.0,23.25
42,conditional_XMV_05,9,20,0.8194200396537781,0.5411786752491694,0.636443170526248,0.012,0.0,302.0
42,conditional_XMV_05,10,20,0.8194200396537781,0.9153458679401993,0.9548864845659164,0.01075,1.0,43.2
42,conditional_XMV_05,11,20,0.8194200396537781,0.9713864825581395,0.9844883718970426,0.01075,1.0,9.0
42,conditional_XMV_05,12,20,0.8194200396537781,0.7727283430232558,0.8590352291185905,0.01125,1.0,25.5
42,conditional_XMV_05,13,20,0.8194200396537781,0.9480479651162791,0.9747228581028424,0.0105,1.0,34.0
42,conditional_XMV_05,14,20,0.8194200396537781,0.9943271179401993,0.9970330030988449,0.01175,1.0,4.05
42,conditional_XMV_05,15,20,0.8194200396537781,0.5134059385382059,0.6168732403019865,0.00975,0.0,302.0
42,conditional_XMV_05,16,20,0.8194200396537781,0.5082352159468438,0.6079852292590551,0.01025,0.0,302.0
42,conditional_XMV_05,17,20,0.8194200396537781,0.9507947051495017,0.9760426805688116,0.0085,1.0,31.4
42,conditional_XMV_05,18,20,0.8194200396537781,0.8746010382059801,0.9312041601317643,0.00975,1.0,63.0
42,conditional_XMV_05,19,20,0.8194200396537781,0.9407816860465116,0.968092005024265,0.01,1.0,30.3
42,conditional_XMV_05,20,20,0.8194200396537781,0.9393603820598007,0.9701203008228005,0.01025,1.0,41.25
42,conditional_XMV_05,21,20,0.8194200396537781,0.5010575166112957,0.6005253488590919,0.01075,0.0,302.0
42,conditional_XMV_05,22,20,0.8194200396537781,0.5580262666112957,0.6488839134900278,0.01375,0.0,302.0
42,conditional_XMV_05,23,20,0.8194200396537781,0.5385429609634551,0.6322182187672772,0.00925,0.0,302.0
42,conditional_XMV_05,24,20,0.8194200396537781,0.9685969684385382,0.9836734159911134,0.00975,1.0,14.95
42,conditional_XMV_05,25,20,0.8194200396537781,0.870930419435216,0.9224774787576954,0.009,1.0,35.45
42,conditional_XMV_05,26,20,0.8194200396537781,0.9226222799003322,0.9582107871477061,0.009,1.0,28.9
42,conditional_XMV_05,27,20,0.8194200396537781,0.8054270971760797,0.8766934314632385,0.01,1.0,24.55
42,conditional_XMV_05,28,20,0.8194200396537781,0.5542116486710963,0.6585390269685509,0.009,0.0,302.0
42,conditional_XMV_06,1,20,0.8201143741607666,0.9950395764119602,0.9974987357279587,0.00875,1.0,4.45
42,conditional_XMV_06,2,20,0.8201143741607666,0.9897388289036545,0.9947231599669182,0.009,1.0,11.95
42,conditional_XMV_06,3,20,0.8201143741607666,0.54028280730897,0.634017724858248,0.01025,0.0,302.0
42,conditional_XMV_06,4,20,0.8201143741607666,0.9643958471760797,0.9747419349702784,0.0115,1.0,2.0
42,conditional_XMV_06,5,20,0.8201143741607666,0.5012231935215947,0.6062462377846412,0.01125,0.05,287.0
42,conditional_XMV_06,6,20,0.8201143741607666,0.9979732973421926,0.9990521022343228,0.00825,1.0,1.0
42,conditional_XMV_06,7,20,0.8201143741607666,0.9967520348837209,0.9984157208035206,0.011,1.0,2.0
42,conditional_XMV_06,8,20,0.8201143741607666,0.9684828073089701,0.9844318493787104,0.01,1.0,23.25
42,conditional_XMV_06,9,20,0.8201143741607666,0.5413079734219269,0.6366134343871833,0.01225,0.0,302.0
42,conditional_XMV_06,10,20,0.8201143741607666,0.9146558139534884,0.9544408719551877,0.01075,1.0,43.2
42,conditional_XMV_06,11,20,0.8201143741607666,0.9718387458471761,0.9847464662435389,0.01075,1.0,9.0
42,conditional_XMV_06,12,20,0.8201143741607666,0.7728375207641196,0.8591282429984538,0.01125,1.0,25.5
42,conditional_XMV_06,13,20,0.8201143741607666,0.9480574335548173,0.9747264750330624,0.01025,1.0,34.0
42,conditional_XMV_06,14,20,0.8201143741607666,0.994327034883721,0.9970337006626503,0.01175,1.0,4.05
42,conditional_XMV_06,15,20,0.8201143741607666,0.5134281976744186,0.6168107345564612,0.009,0.0,302.0
42,conditional_XMV_06,16,20,0.8201143741607666,0.5081573297342192,0.6079646172866298,0.0105,0.0,302.0
42,conditional_XMV_06,17,20,0.8201143741607666,0.950800622923588,0.9760469924140436,0.00875,1.0,31.4
42,conditional_XMV_06,18,20,0.8201143741607666,0.8774968438538207,0.9329503285624972,0.00975,1.0,63.0
42,conditional_XMV_06,19,20,0.8201143741607666,0.9408102574750831,0.9681100939700763,0.01,1.0,30.3
42,conditional_XMV_06,20,20,0.8201143741607666,0.9395661129568106,0.9702269923775316,0.01025,1.0,40.65
42,conditional_XMV_06,21,20,0.8201143741607666,0.5010883720930233,0.6005163967385093,0.0105,0.0,302.0
42,conditional_XMV_06,22,20,0.8201143741607666,0.558153073089701,0.6490012737015383,0.0135,0.0,302.0
42,conditional_XMV_06,23,20,0.8201143741607666,0.5386498546511628,0.6323333898947362,0.0095,0.0,302.0
42,conditional_XMV_06,24,20,0.8201143741607666,0.9686268272425249,0.9836950597400046,0.00975,1.0,14.95
42,conditional_XMV_06,25,20,0.8201143741607666,0.8710705980066445,0.9226186940153829,0.009,1.0,35.45
42,conditional_XMV_06,26,20,0.8201143741607666,0.9225796926910299,0.9581936543387791,0.009,1.0,28.9
42,conditional_XMV_06,27,20,0.8201143741607666,0.8071702034883721,0.8778875667305135,0.00975,1.0,24.45
42,conditional_XMV_06,28,20,0.8201143741607666,0.5541870016611296,0.6585237846811041,0.00925,0.0,302.0
42,conditional_XMV_07,1,20,0.8196403980255127,0.9950320598006644,0.9974947286442886,0.00875,1.0,4.35
42,conditional_XMV_07,2,20,0.8196403980255127,0.9896526578073089,0.9946771459171612,0.01,1.0,12.15
42,conditional_XMV_07,3,20,0.8196403980255127,0.5400813745847176,0.6341613660120702,0.0105,0.0,302.0
42,conditional_XMV_07,4,20,0.8196403980255127,0.9652399086378738,0.975329414146635,0.0115,1.0,2.0
42,conditional_XMV_07,5,20,0.8196403980255127,0.5012942068106312,0.6063151628761515,0.011,0.05,287.0
42,conditional_XMV_07,6,20,0.8196403980255127,0.9979799418604651,0.9990543318514367,0.0085,1.0,1.0
42,conditional_XMV_07,7,20,0.8196403980255127,0.9967513704318937,0.9984164103168889,0.01075,1.0,2.0
42,conditional_XMV_07,8,20,0.8196403980255127,0.9684002699335548,0.984385573979871,0.0095,1.0,23.45
42,conditional_XMV_07,9,20,0.8196403980255127,0.5411814161129568,0.6364424753205965,0.012,0.0,302.0
42,conditional_XMV_07,10,20,0.8196403980255127,0.9152931893687708,0.9548604887642079,0.0105,1.0,42.5
42,conditional_XMV_07,11,20,0.8196403980255127,0.9719022840531562,0.9847818986640193,0.011,1.0,8.9
42,conditional_XMV_07,12,20,0.8196403980255127,0.7729567483388704,0.8592510747163447,0.01125,1.0,25.5
42,conditional_XMV_07,13,20,0.8196403980255127,0.9480519933554817,0.9747226924691265,0.01075,1.0,34.0
42,conditional_XMV_07,14,20,0.8196403980255127,0.994302450166113,0.9970151474908562,0.012,1.0,4.05
42,conditional_XMV_07,15,20,0.8196403980255127,0.5131746470099667,0.616895619233911,0.01,0.0,302.0
42,conditional_XMV_07,16,20,0.8196403980255127,0.5084747300664452,0.6083166297807137,0.011,0.0,302.0
42,conditional_XMV_07,17,20,0.8196403980255127,0.950959219269103,0.9761466955207545,0.00875,1.0,31.4
42,conditional_XMV_07,18,20,0.8196403980255127,0.8757574127906976,0.9318991428781023,0.00975,1.0,63.0
42,conditional_XMV_07,19,20,0.8196403980255127,0.9269788828903655,0.9600193095428801,0.01025,1.0,34.25
42,conditional_XMV_07,20,20,0.8196403980255127,0.9393628737541528,0.9700962467358681,0.01025,1.0,41.25
42,conditional_XMV_07,21,20,0.8196403980255127,0.5009980274086379,0.600332576643468,0.01025,0.0,302.0
42,conditional_XMV_07,22,20,0.8196403980255127,0.5581294435215947,0.6488652265964379,0.01375,0.0,302.0
42,conditional_XMV_07,23,20,0.8196403980255127,0.5386832433554817,0.632330692035365,0.00925,0.0,302.0
42,conditional_XMV_07,24,20,0.8196403980255127,0.9687973006644518,0.9837358351988328,0.009,1.0,14.95
42,conditional_XMV_07,25,20,0.8196403980255127,0.8704935838870432,0.922216384432409,0.00875,1.0,35.25
