seed,condition,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,channel,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr,mode
42,occlude_XMV_07,24,20,0.821911633014679,0.9685578903654484,0.983642337116902,0.00975,1.0,14.95,7,0.9685969684385382,0.9836734159911134,0.00975,3.907807308978217e-05,3.1078874211387664e-05,0.0,zero
42,occlude_XMV_07,25,20,0.821911633014679,0.8695884759136213,0.921712147566817,0.0085,1.0,35.65,7,0.870930419435216,0.9224774787576954,0.009,0.0013419435215946685,0.0007653311908784044,-0.0004999999999999987,zero
42,occlude_XMV_07,26,20,0.821911633014679,0.9220209094684384,0.957867848937698,0.01,1.0,29.2,7,0.9226222799003322,0.958210787147706,0.009,0.0006013704318937885,0.0003429382100079703,0.0010000000000000009,zero
42,occlude_XMV_07,27,20,0.821911633014679,0.8054220514950167,0.8767572289120296,0.00975,1.0,23.95,7,0.8054270971760797,0.8766934314632385,0.01,5.045681063076124e-06,-6.379744879103644e-05,-0.0002500000000000002,zero
42,occlude_XMV_07,28,20,0.821911633014679,0.5539262458471761,0.6582194683060603,0.0095,0.0,302.0,7,0.5542116486710963,0.6585390269685509,0.009,0.0002854028239202,0.000319558662490671,0.0005000000000000004,zero
42,occlude_XMV_08,1,20,0.8192602396011353,0.9950336378737542,0.9974974812810686,0.009,1.0,4.4,8,0.9950453488372092,0.9975019488558962,0.00875,1.1710963454980572e-05,4.46757482752691e-06,0.0002499999999999985,zero
42,occlude_XMV_08,2,20,0.8192602396011353,0.9897092607973422,0.9947071099319555,0.009,1.0,11.95,8,0.9897280315614618,0.9947176269467548,0.0095,1.8770764119602212e-05,1.0517014799260593e-05,-0.0005000000000000004,zero
42,occlude_XMV_08,3,20,0.8192602396011353,0.5403678363787375,0.6343049136099423,0.01075,0.0,302.0,8,0.5401351328903654,0.6339151595443463,0.01075,-0.0002327034883721213,-0.0003897540655960485,0.0,zero
42,occlude_XMV_08,4,20,0.8192602396011353,0.962160527408638,0.9729811528020736,0.012,1.0,2.0,8,0.9623112126245849,0.9731175611431904,0.0115,0.00015068521594685524,0.00013640834111672273,0.0005000000000000004,zero
42,occlude_XMV_08,5,20,0.8192602396011353,0.50138698089701,0.6063286374474817,0.01125,0.05,287.0,8,0.501271511627907,0.6062633073090348,0.0115,-0.00011546926910299682,-6.533013844689517e-05,-0.0002500000000000002,zero
42,occlude_XMV_08,6,20,0.8192602396011353,0.9979744601328904,0.9990522856473054,0.00825,1.0,1.0,8,0.9979763289036544,0.999053047335399,0.008,1.8687707640241413e-06,7.616880935978898e-07,0.0002500000000000002,zero
42,occlude_XMV_08,7,20,0.8192602396011353,0.9967470099667776,0.9984138152314268,0.01075,1.0,2.0,8,0.9967485049833888,0.9984144720614974,0.011,1.4950166112859264e-06,6.56830070555614e-07,-0.0002500000000000002,zero
42,occlude_XMV_08,8,20,0.8192602396011353,0.9684845099667774,0.9844385064643784,0.00975,1.0,23.25,8,0.9684860880398672,0.9844352303969036,0.0095,1.5780730898695694e-06,-3.276067474744515e-06,0.0002500000000000002,zero
42,occlude_XMV_08,9,20,0.8192602396011353,0.541071615448505,0.6364914881979731,0.0125,0.0,302.0,8,0.5411786752491694,0.636443170526248,0.012,0.00010705980066438858,-4.831767172508439e-05,0.0005000000000000004,zero
42,occlude_XMV_08,10,20,0.8192602396011353,0.9151336586378738,0.9547236098002052,0.0105,1.0,43.1,8,0.9153458679401992,0.9548864845659164,0.01075,0.0002122093023254612,0.0001628747657111962,-0.0002499999999999985,zero
42,occlude_XMV_08,11,20,0.8192602396011353,0.9712823712624584,0.9844296679188224,0.0105,1.0,9.0,8,0.9713864825581396,0.9844883718970426,0.01075,0.00010411129568121957,5.870397822027584e-05,-0.0002499999999999985,zero
42,occlude_XMV_08,12,20,0.8192602396011353,0.7727328073089701,0.8589955583502608,0.0115,1.0,25.4,8,0.7727283430232558,0.8590352291185905,0.01125,-4.464285714322891e-06,3.967076832978034e-05,0.0002500000000000002,zero
42,occlude_XMV_08,13,20,0.8192602396011353,0.9480488787375416,0.9747221134702582,0.011,1.0,34.0,8,0.9480479651162792,0.9747228581028424,0.0105,-9.136212624216711e-07,7.44632584259719e-07,0.0004999999999999987,zero
42,occlude_XMV_08,14,20,0.8192602396011353,0.9943161129568108,0.99702315164994,0.01225,1.0,4.05,8,0.9943271179401992,0.9970330030988448,0.01175,1.1004983388462897e-05,9.85144890475187e-06,0.0005000000000000004,zero
42,occlude_XMV_08,15,20,0.8192602396011353,0.5136595099667774,0.6169963018560396,0.00975,0.0,302.0,8,0.5134059385382059,0.6168732403019865,0.00975,-0.0002535714285715196,-0.00012306155405306107,0.0,zero
42,occlude_XMV_08,16,20,0.8192602396011353,0.5082989825581395,0.6080294675631882,0.0105,0.0,302.0,8,0.5082352159468438,0.6079852292590551,0.01025,-6.376661129570138e-05,-4.423830413313734e-05,0.0002500000000000002,zero
42,occlude_XMV_08,17,20,0.8192602396011353,0.9507453488372092,0.9760290966380216,0.00925,1.0,31.4,8,0.9507947051495016,0.9760426805688116,0.0085,4.935631229241455e-05,1.3583930789984322e-05,0.0007499999999999989,zero
42,occlude_XMV_08,18,20,0.8192602396011353,0.874775622923588,0.9312568614685314,0.00975,1.0,63.0,8,0.8746010382059801,0.9312041601317644,0.00975,-0.00017458471760789518,-5.2701336766936e-05,0.0,zero
42,occlude_XMV_08,19,20,0.8192602396011353,0.8748410714285715,0.9272608619644797,0.00975,1.0,37.95,8,0.9407816860465116,0.968092005024265,0.01,0.0659406146179401,0.0408311430597853,-0.0002500000000000002,zero
42,occlude_XMV_08,20,20,0.8192602396011353,0.9393375830564784,0.9700918918900294,0.01025,1.0,41.25,8,0.9393603820598008,0.9701203008228004,0.01025,2.279900332236018e-05,2.8408932771006867e-05,0.0,zero
42,occlude_XMV_08,21,20,0.8192602396011353,0.5010721137873754,0.6006621177360159,0.01075,0.0,302.0,8,0.5010575166112957,0.6005253488590919,0.01075,-1.4597176079655938e-05,-0.0001367688769239317,0.0,zero
42,occlude_XMV_08,22,20,0.8192602396011353,0.5579322674418604,0.6487295656919265,0.014,0.0,302.0,8,0.5580262666112957,0.6488839134900278,0.01375,9.399916943531039e-05,0.0001543477981013064,0.0002500000000000002,zero
42,occlude_XMV_08,23,20,0.8192602396011353,0.538578073089701,0.6321757164780305,0.0095,0.0,302.0,8,0.5385429609634551,0.6322182187672772,0.00925,-3.5112126245850916e-05,4.250228924673749e-05,0.0002500000000000002,zero
42,occlude_XMV_08,24,20,0.8192602396011353,0.9684333471760798,0.98357221947937,0.00975,1.0,14.95,8,0.9685969684385382,0.9836734159911134,0.00975,0.00016362126245839104,0.00010119651174333999,0.0,zero
42,occlude_XMV_08,25,20,0.8192602396011353,0.8708975913621263,0.9224487056591332,0.00975,1.0,35.4,8,0.870930419435216,0.9224774787576954,0.009,3.2828073089685716e-05,2.8773098562195898e-05,0.0007500000000000007,zero
42,occlude_XMV_08,26,20,0.8192602396011353,0.9227007890365448,0.958246218855098,0.00925,1.0,29.1,8,0.9226222799003322,0.958210787147706,0.009,-7.850913621265665e-05,-3.5431707391953005e-05,0.0002500000000000002,zero
42,occlude_XMV_08,27,20,0.8192602396011353,0.8049084094684386,0.8763418368894605,0.00925,1.0,24.55,8,0.8054270971760797,0.8766934314632385,0.01,0.0005186877076411855,0.0003515945737779802,-0.0007500000000000007,zero
42,occlude_XMV_08,28,20,0.8192602396011353,0.5539959509966778,0.658260152169273,0.00975,0.0,302.0,8,0.5542116486710963,0.6585390269685509,0.009,0.0002156976744185357,0.00027887479927790615,0.0007500000000000007,zero
42,occlude_XMV_09,1,20,0.8194200396537781,0.9950453488372092,0.9975019488558962,0.00875,1.0,4.35,9,0.9950453488372092,0.9975019488558962,0.00875,0.0,0.0,0.0,zero
42,occlude_XMV_09,2,20,0.8194200396537781,0.9897280315614618,0.9947176269467548,0.0095,1.0,11.95,9,0.9897280315614618,0.9947176269467548,0.0095,0.0,0.0,0.0,zero
42,occlude_XMV_09,3,20,0.8194200396537781,0.5401351328903654,0.6339151595443463,0.01075,0.0,302.0,9,0.5401351328903654,0.6339151595443463,0.01075,0.0,0.0,0.0,zero
42,occlude_XMV_09,4,20,0.8194200396537781,0.9623112126245849,0.9731175611431904,0.0115,1.0,2.0,9,0.9623112126245849,0.9731175611431904,0.0115,0.0,0.0,0.0,zero
42,occlude_XMV_09,5,20,0.8194200396537781,0.501271511627907,0.6062633073090348,0.0115,0.05,287.0,9,0.501271511627907,0.6062633073090348,0.0115,0.0,0.0,0.0,zero
42,occlude_XMV_09,6,20,0.8194200396537781,0.9979763289036544,0.999053047335399,0.008,1.0,1.0,9,0.9979763289036544,0.999053047335399,0.008,0.0,0.0,0.0,zero
42,occlude_XMV_09,7,20,0.8194200396537781,0.9967485049833888,0.9984144720614974,0.011,1.0,2.0,9,0.9967485049833888,0.9984144720614974,0.011,0.0,0.0,0.0,zero
42,occlude_XMV_09,8,20,0.8194200396537781,0.9684860880398672,0.9844352303969036,0.0095,1.0,23.25,9,0.9684860880398672,0.9844352303969036,0.0095,0.0,0.0,0.0,zero
42,occlude_XMV_09,9,20,0.8194200396537781,0.5411786752491694,0.636443170526248,0.012,0.0,302.0,9,0.5411786752491694,0.636443170526248,0.012,0.0,0.0,0.0,zero
42,occlude_XMV_09,10,20,0.8194200396537781,0.9153458679401992,0.9548864845659164,0.01075,1.0,43.2,9,0.9153458679401992,0.9548864845659164,0.01075,0.0,0.0,0.0,zero
42,occlude_XMV_09,11,20,0.8194200396537781,0.9713864825581396,0.9844883718970426,0.01075,1.0,9.0,9,0.9713864825581396,0.9844883718970426,0.01075,0.0,0.0,0.0,zero
42,occlude_XMV_09,12,20,0.8194200396537781,0.7727283430232558,0.8590352291185905,0.01125,1.0,25.5,9,0.7727283430232558,0.8590352291185905,0.01125,0.0,0.0,0.0,zero
42,occlude_XMV_09,13,20,0.8194200396537781,0.9480479651162792,0.9747228581028424,0.0105,1.0,34.0,9,0.9480479651162792,0.9747228581028424,0.0105,0.0,0.0,0.0,zero
42,occlude_XMV_09,14,20,0.8194200396537781,0.9943271179401992,0.9970330030988448,0.01175,1.0,4.05,9,0.9943271179401992,0.9970330030988448,0.01175,0.0,0.0,0.0,zero
42,occlude_XMV_09,15,20,0.8194200396537781,0.5134059385382059,0.6168732403019865,0.00975,0.0,302.0,9,0.5134059385382059,0.6168732403019865,0.00975,0.0,0.0,0.0,zero
42,occlude_XMV_09,16,20,0.8194200396537781,0.5082352159468438,0.6079852292590551,0.01025,0.0,302.0,9,0.5082352159468438,0.6079852292590551,0.01025,0.0,0.0,0.0,zero
42,occlude_XMV_09,17,20,0.8194200396537781,0.9507947051495016,0.9760426805688116,0.0085,1.0,31.4,9,0.9507947051495016,0.9760426805688116,0.0085,0.0,0.0,0.0,zero
