architecture,seed,fault_id,auroc_F0,auroc_F0-C,auroc_F1,auprc_F0,auprc_F0-C,auprc_F1,delta_auroc_f0,delta_auroc_f0c,delta_auprc_f0,delta_auprc_f0c
tcn,42,19,0.7722944750788667,0.7704532784995667,0.9539849311927454,0.9017162828307712,0.9007351562892668,0.9822382825179578,0.18169045611387868,0.18353165269317873,0.08052199968718654,0.08150312622869094
tcn,42,20,0.9857170365603646,0.9846655670326772,0.9846354565391856,0.995156071054616,0.9947313352821402,0.994720157392425,-0.001081580021178974,-3.0110493491553036e-05,-0.0004359136621909787,-1.1177889715163758e-05
tcn,42,21,0.5018395230892319,0.5017404943914968,0.5016603887674607,0.7081682007061538,0.7081043462508135,0.7079150337281841,-0.00017913432177119049,-8.010562403615307e-05,-0.0002531669779697321,-0.00018931252262943676
tcn,42,22,0.5424520728470534,0.5421409269717288,0.5619393746632987,0.7363368070933443,0.7360166263846554,0.7505479648962748,0.01948730181624525,0.01979844769156991,0.014211157802930585,0.014531338511619474
tcn,42,23,0.5203011049349158,0.5198162027123483,0.5503225397846838,0.7212395260481783,0.7210243760165875,0.7412136532957277,0.030021434849768047,0.03050633707233552,0.019974127247549434,0.020189277279140216
tcn,42,24,0.856634793307026,0.855523127447826,0.9662841586135736,0.940805798569329,0.9402996901479286,0.9875271198024322,0.10964936530654767,0.11076103116574765,0.04672132123310324,0.04722742965450366
tcn,42,25,0.6314349730454067,0.6304910291070158,0.9237834990797346,0.8032690986855374,0.8024209070168333,0.9715911230155424,0.2923485260343278,0.29329246997271874,0.16832202433000498,0.16917021599870907
tcn,42,26,0.5377597638745579,0.5371213813473968,0.926000743978826,0.7351326135931643,0.7347432692821634,0.9728329485096956,0.3882409801042681,0.3888793626314292,0.2377003349165313,0.2380896792275322
tcn,42,27,0.7892589428473863,0.7881981936169452,0.7969422131243535,0.9064860634130344,0.9059852519750888,0.9107486970438692,0.007683270276967247,0.00874401950740833,0.004262633630834789,0.004763445068780348
tcn,42,28,0.5675240267561167,0.5677225710971314,0.5687638486696525,0.7640739254488005,0.7641281904513959,0.7647901344843873,0.0012398219135357769,0.0010412775725210377,0.000716209035586779,0.0006619440329913573
tcn,43,1,0.998921397126898,0.9989191812164764,0.998974612878292,0.9996283463602518,0.9996281244157766,0.9996469945423898,5.3215751394053434e-05,5.543166181565251e-05,1.8648182138036873e-05,1.887012661316856e-05
tcn,43,2,0.9974474345366436,0.9974958486351349,0.997736399734214,0.9991099492144472,0.9991253067574194,0.9992090606657617,0.00028896519757037886,0.00024055109907916705,9.911145131447086e-05,8.375390834225449e-05
tcn,43,3,0.5212238112673035,0.5203356842324567,0.5389641682045516,0.7198077444128488,0.7193334565133065,0.7317667566589786,0.01774035693724807,0.018628483972094934,0.01195901224612983,0.012433300145672121
tcn,43,4,0.5007994474709034,0.50097395581,0.6220470820866911,0.7097621077433725,0.7097787326088165,0.7816599077031154,0.12124763461578769,0.12107312627669109,0.07189779995974299,0.07188117509429892
tcn,43,5,0.4944005238054733,0.4946439349391441,0.4943470984825791,0.7050457477555627,0.7052067907822994,0.704863345344972,-5.3425322894207206e-05,-0.00029683645656503055,-0.00018240241059075402,-0.0003434454373274498
tcn,43,6,0.999597178921052,0.9995954530381088,0.9995986520854212,0.9998667612638475,0.9998658316474928,0.9998681531966928,1.473164369159008e-06,3.1990473123855168e-06,1.3919328452072222e-06,2.3215491999906135e-06
tcn,43,7,0.51163475632382,0.510736628413704,0.9992864182874556,0.7217199931299085,0.7202942356370573,0.999761237846544,0.4876516619636355,0.4885497898737515,0.2780412447166355,0.2794670022094867
tcn,43,8,0.9920524693070212,0.9917879931556414,0.9924085004666048,0.9972921030468356,0.9971927345517398,0.9974186347680992,0.000356031159583603,0.000620507310963414,0.0001265317212636452,0.00022590021635937596
tcn,43,9,0.5283626887530373,0.5278774875828887,0.5421669847222377,0.7269344967707269,0.7265181052483389,0.736482517445114,0.013804295969200409,0.014289497139349017,0.009548020674387092,0.009964412196775019
tcn,43,10,0.960310874665148,0.959488001415224,0.9603320198131362,0.9856066349518096,0.9852900722403846,0.9856312935652064,2.114514798823297e-05,0.0008440183979122606,2.4658613396844054e-05,0.00034122132482183876
tcn,43,11,0.940841186100725,0.9401447954150688,0.95008599519958,0.9775402480899288,0.9772413557121116,0.9809219364647664,0.009244809098855056,0.009941199784511245,0.0033816883748376547,0.0036805807526548717
tcn,43,12,0.8003436417855985,0.799380127567405,0.8042237132618079,0.91541186532797,0.9149345264510704,0.917135161227502,0.00388007147620939,0.004843585694402908,0.001723295899532018,0.0022006347764316203
tcn,43,13,0.9887136809508136,0.9887089409365872,0.9888418832341568,0.996263090765178,0.996262381576891,0.9963087559289916,0.00012820228334320394,0.00013294229756954934,4.566516381354635e-05,4.637435210064211e-05
tcn,43,14,0.9964568979226534,0.9961410767537128,0.9962836994054334,0.9986207011081656,0.9984927633197052,0.998552767210606,-0.0001731985172199746,0.00014262265172060307,-6.793389755954671e-05,6.000389090088376e-05
tcn,43,15,0.5182685233468816,0.5183075991858763,0.5191362294881894,0.7196562012679285,0.7196191379231232,0.7205218465288616,0.0008677061413078224,0.0008286303023130603,0.0008656452609331344,0.0009027086057384892
tcn,43,16,0.5121962846671326,0.5121200129687775,0.5125430083865583,0.7157356389788324,0.7155863790311715,0.7157256339886,0.0003467237194256789,0.00042299541778079153,-1.0004990232403976e-05,0.0001392549574285029
tcn,43,17,0.984247425660674,0.9848295228303494,0.9841772654370984,0.9944856521612244,0.994704989423649,0.9944332701055616,-7.016022357564378e-05,-0.0006522573932510323,-5.2382055662825167e-05,-0.00027171931808744887
tcn,43,18,0.9336901781234476,0.9336369962733256,0.9354913003171926,0.9754866929745446,0.9754665742221094,0.9759903032020242,0.0018011221937450639,0.0018543040438669944,0.0005036102274795784,0.000523728979914817
tcn,43,19,0.7731265078361249,0.7725508364984793,0.9516594611053788,0.9021591243119628,0.9019029603126328,0.9810643273189366,0.1785329532692539,0.17910862460689947,0.07890520300697379,0.07916136700630372
tcn,43,20,0.984341766737058,0.9842590630428056,0.98632499115485,0.994592048538906,0.9945649653568092,0.9954063767997854,0.0019832244177919733,0.002065928112044313,0.000814328260879349,0.0008414114429762254
tcn,43,21,0.5030442972512849,0.5030412368909944,0.502888465431181,0.7089503869637991,0.7089390310987407,0.7086429026277341,-0.00015583182010381336,-0.00015277145981340556,-0.00030748433606497816,-0.0002961284710065737
tcn,43,22,0.5429547393362008,0.5424725522973352,0.5603732098587365,0.7366609725301664,0.7362258274931913,0.7495331818700136,0.017418470522535756,0.017900657561401356,0.01287220933984723,0.013307354376822289
tcn,43,23,0.5196641709166534,0.5191323986444423,0.550440932272655,0.7210886868628309,0.7208612514721657,0.7415639075372773,0.030776761356001603,0.03130853362821273,0.020475220674446404,0.02070265606511157
tcn,43,24,0.8565029697514359,0.854592432742958,0.968076626737132,0.940580260779165,0.9397512222681508,0.988151927540992,0.1115736569856961,0.11348419399417398,0.047571666761827,0.04840070527284124
tcn,43,25,0.6301819635370245,0.6303616680165537,0.9207250834895874,0.8017961110117232,0.8020719109569986,0.9702537819580636,0.2905431199525629,0.2903634154730337,0.16845767094634034,0.16818187100106496
tcn,43,26,0.5363966461163319,0.5370838772946538,0.9242219288221218,0.7338393365221204,0.7343253023347175,0.9720849332348234,0.38782528270579,0.38713805152746805,0.23824559671270296,0.23775963090010588
tcn,43,27,0.7867833486813638,0.7867434160647649,0.7936388731710263,0.905400159965039,0.9053818844079125,0.9095323772004588,0.0068555244896625345,0.006895457106261382,0.004132217235419788,0.004150492792546312
tcn,43,28,0.567521773862489,0.567326071064463,0.5687778159937572,0.7640214048434939,0.7638637356756968,0.7648494635601651,0.0012560421312681758,0.0014517449292942297,0.0008280587166712428,0.0009857278844683792
tcn,44,1,0.9989402246606482,0.998935164125304,0.9989927346491958,0.999634351398708,0.9996332253523998,0.9996526752885616,5.250998854755551e-05,5.757052389177009e-05,1.8323889853566477e-05,1.9449936161763937e-05
tcn,44,2,0.9974783432509964,0.9975170893230716,0.9977341838237924,0.9991209804364416,0.9991358833548036,0.999210727344832,0.00025584057279604,0.00021709450072082692,8.974690839036459e-05,7.48439900283282e-05
